test_id,surface,mechanic,precondition,action,expected_transition,negative_assertion,required_evidence,status,writer_evidence_status,actual_evidence,command_or_state_owner,independent_acceptance
IM-ENT-THEME,Enterprise,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-THEME,GlobalPreferenceCore.ThemeProfile,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-GUIDE,Enterprise,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-GUIDE,SharedGuidanceOwner,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-CTX,Enterprise,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-CTX,SharedContextLensCore→EnterpriseDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-NOTE,Enterprise,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-NOTE,Shared owner proven in browser receipt,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-THEME,Scenarios,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-THEME,GlobalPreferenceCore.ThemeProfile,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-GUIDE,Scenarios,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-GUIDE,SharedGuidanceOwner,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-CTX,Scenarios,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-CTX,SharedContextLensCore→ScenariosDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-NOTE,Scenarios,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-NOTE,Shared owner proven in browser receipt,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-THEME,Labs,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-THEME,GlobalPreferenceCore.ThemeProfile,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-GUIDE,Labs,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-GUIDE,SharedGuidanceOwner,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
