workspace,surface,primary_family,global_foundation,structured_engine,spatial_engine,operational_engine,analytical_engine,review_audit_engine,surface_status,notes
W01,Today,ORCHESTRATION,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W01,Shared Global Shell,GLOBAL_SHELL,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W02,Library,STRUCTURED,MANDATORY,LIKELY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W02,Learn,STRUCTURED_LEARNING,MANDATORY,LIKELY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W02,Visualize,SPATIAL,MANDATORY,EVALUATE,LIKELY,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W02,Research & Quality,ANALYTICAL,MANDATORY,EVALUATE,EVALUATE,EVALUATE,LIKELY,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W03,Enterprise,SPATIAL_AUTHORING,MANDATORY,EVALUATE,LIKELY,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W03,Scenarios,STRUCTURED_SPATIAL_AUTHORING,MANDATORY,LIKELY,LIKELY,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W03,Labs,STRUCTURED_SPATIAL_AUTHORING,MANDATORY,LIKELY,LIKELY,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W03,Runs,OPERATIONAL_SPATIAL_RUNTIME,MANDATORY,EVALUATE,LIKELY,LIKELY,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W03,Results,ANALYTICAL_REPLAY,MANDATORY,EVALUATE,EVALUATE,EVALUATE,LIKELY,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W04,Evidence,EVIDENCE,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,LIKELY,PROFILE_TO_COMPILE,Omission is not N/A
W04,Reviews,REVIEW,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,LIKELY,PROFILE_TO_COMPILE,Omission is not N/A
W04,Mastery,MASTERY,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,LIKELY,PROFILE_TO_COMPILE,Omission is not N/A
W04,Portfolio,PORTFOLIO,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Health,SYSTEM_OPERATIONS,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Processing,SYSTEM_OPERATIONS,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Validation,SYSTEM_OPERATIONS,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,AI Bridge / Manual AI Bridge,AI_WORKBENCH,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Backup & Restore,SYSTEM_SAFETY,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Audit,AUDIT,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,LIKELY,PROFILE_TO_COMPILE,Omission is not N/A
W05,Releases,LOCAL_MAINTENANCE_CANDIDATE,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
W05,Configuration,SETTINGS_INTEGRATIONS,MANDATORY,EVALUATE,EVALUATE,EVALUATE,EVALUATE,EVALUATE,PROFILE_TO_COMPILE,Omission is not N/A
