id,surface,kind,requirement,source,disposition,implementation,before,after,guard,owner
audit.INV.1,audit,DOMAIN_INVARIANT,Hash chain is not encryption,bigboss/O05/surfaces/audit.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
audit.INV.2,audit,DOMAIN_INVARIANT,Application append-only claim is not DB-enforced immutability proof,bigboss/O05/surfaces/audit.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
audit.INV.3,audit,DOMAIN_INVARIANT,Personal note stored separately from AuditEvent,bigboss/O05/surfaces/audit.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
audit.search,audit,DOMAIN_COMMAND,Search does not mutate audit event count/hash,bigboss/O05/surfaces/audit.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,audit readable,ordered event page,Server-enforced read filter and safe redaction,W05AuditDomain
audit.verify,audit,DOMAIN_COMMAND,Tampered observed event returns first_invalid_sequence; verified bytes scope explicit,bigboss/O05/surfaces/audit.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,integrity=NOT_CHECKED,VALID_CHAIN or INVALID_CHAIN with first bad sequence,Exact range/watermark recorded; no encryption label,W05AuditDomain
audit.annotate,audit,DOMAIN_COMMAND,Original record_hash unchanged after note edit,bigboss/O05/surfaces/audit.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,audit event selected,note revision saved separately,No AuditRecord write capability in annotation adapter,W05AuditDomain
backup.INV.1,backup,DOMAIN_INVARIANT,Current migrations do not prove historical package schema,bigboss/O05/surfaces/backup.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
backup.INV.2,backup,DOMAIN_INVARIANT,Copying migration ledger rows does not create tables,bigboss/O05/surfaces/backup.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
backup.INV.3,backup,DOMAIN_INVARIANT,Drill must target true-empty isolated environment,bigboss/O05/surfaces/backup.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
backup.INV.4,backup,DOMAIN_INVARIANT,Verify/stage/drill never activate production,bigboss/O05/surfaces/backup.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
backup.INV.5,backup,DOMAIN_INVARIANT,Integrity protection does not establish encryption,bigboss/O05/surfaces/backup.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
backup.plan,backup,DOMAIN_COMMAND,Plan performs zero database restore writes,bigboss/O05/surfaces/backup.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,package=VERIFIED,drill=PLANNED,Exact package identity; target isolated; no activation authority implied,W05BackupDomain
backup.preview,backup,DOMAIN_COMMAND,Schema A package versus schema B checkout remains explicit conflict,bigboss/O05/surfaces/backup.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,drill=PLANNED|STAGED,comparison with exact missing/extra artifacts,No current-checkout schema substituted,W05BackupDomain
backup.stage,backup,DOMAIN_COMMAND,Missing schema artifact never triggers TRUNCATE/INSERT,bigboss/O05/surfaces/backup.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,package=VERIFIED and drill=PLANNED,drill=STAGED or SCHEMA_BLOCKED,Strict target identity/no live connection; package bytes verified,W05BackupDomain
backup.drill,backup,DOMAIN_COMMAND,Missing/extra schema input stops before application table writes,bigboss/O05/surfaces/backup.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,drill=STAGED,DRILLING then VERIFIED/FAILED,Parent chooses schema architecture; exact immutable schema artifact; true-empty proof,W05BackupDomain
backup.activationRequest,backup,DOMAIN_COMMAND,Verified drill cannot create production restore side effect,bigboss/O05/surfaces/backup.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,drill=VERIFIED,activation=AUTHORITY_PENDING,No direct activation endpoint in ordinary child UI,W05BackupDomain
configuration.INV.1,configuration,DOMAIN_INVARIANT,UI preferences never modify operational configuration,bigboss/O05/surfaces/configuration.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
configuration.INV.2,configuration,DOMAIN_INVARIANT,Present value is not approved value,bigboss/O05/surfaces/configuration.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
configuration.INV.3,configuration,DOMAIN_INVARIANT,Default is observation/proposal until newer mutation authority exists,bigboss/O05/surfaces/configuration.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
configuration.INV.4,configuration,DOMAIN_INVARIANT,"Reset means discard proposal/reveal present value, not factory-reset production",bigboss/O05/surfaces/configuration.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
configuration.edit,configuration,DOMAIN_COMMAND,Edit proposal causes zero operational config writes,bigboss/O05/surfaces/configuration.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal absent|DRAFT,proposal=DRAFT; application=NOT_APPLIED,Key allowlisted; secrets excluded; no apply authority implied,W05ConfigurationDomain
configuration.diff,configuration,DOMAIN_COMMAND,Secret marker never replaced by plaintext in diff,bigboss/O05/surfaces/configuration.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=DRAFT,safe redacted diff with source/restart flags,"Redaction applies to diff, logs and exports",W05ConfigurationDomain
configuration.validate,configuration,DOMAIN_COMMAND,Validation success does not apply config or authorize restart,bigboss/O05/surfaces/configuration.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=DRAFT,VALIDATED or INVALID; application=NOT_APPLIED,Exact present version; configuration owner validators,W05ConfigurationDomain
configuration.reset,configuration,DOMAIN_COMMAND,Reset preserves live config digest,bigboss/O05/surfaces/configuration.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=DRAFT|VALIDATED|INVALID,proposal absent; application unchanged,Only proposal removal; present value never changed,W05ConfigurationDomain
configuration.requestApply,configuration,DOMAIN_COMMAND,UI Settings cannot dispatch this family or manufacture authority,bigboss/O05/surfaces/configuration.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=VALIDATED,proposal=AUTHORITY_PENDING,Explicit newer authority required to go beyond request,W05ConfigurationDomain
enterprise.INV.1,enterprise,DOMAIN_INVARIANT,Twin is not Enterprise,bigboss/O05/surfaces/enterprise.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
enterprise.INV.2,enterprise,DOMAIN_INVARIANT,Simulation-local device is explicitly classified,bigboss/O05/surfaces/enterprise.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
enterprise.INV.3,enterprise,DOMAIN_INVARIANT,Published baseline remains immutable,bigboss/O05/surfaces/enterprise.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
enterprise.INV.4,enterprise,DOMAIN_INVARIANT,No generic visual edge may invent network semantics,bigboss/O05/surfaces/enterprise.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
