mechanic,evidence,shared_owner,enterprise,scenarios,labs,runs,results,writer_result,independent_acceptance
Theme,IM-*-THEME,Shared theme owner,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Workspace/View → CENTER,ODR-VIEW-*,SharedViewInteractionCore + domain adapter,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Context lifecycle,IM-*-CTX,SharedContextCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Guidance lifecycle,IM-*-GUIDE,SharedGuidanceCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Notes / Sticky identity,IM-*-NOTE,NoteWorkingState + SharedFloatingWindowCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Spatial pan routes,IM-*-PAN,SpatialInteractionCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,NOT_APPLICABLE_JUSTIFIED: Results is historical/read-only and has no live spatial edit viewport,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Relation authoring,IM-ENT/SCE/LAB-REL,SharedRelationComposer + domain adapter,APPLICABLE,APPLICABLE,APPLICABLE,NOT_APPLICABLE_JUSTIFIED: Run instance does not author canonical relationships,NOT_APPLICABLE_JUSTIFIED: Results is historical/read-only,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Operational entry,IM-*-SHELL / IM-RES-HIST,OperationalSurfaceManager,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,RECORDED_READ_ONLY only,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Operational real tabs/window,IM-OPS-TABS/WINDOW,OperationalSurfaceManager,APPLICABLE through eligible session entry,APPLICABLE through eligible session entry,APPLICABLE through eligible session entry,APPLICABLE primary proof surface,NOT_APPLICABLE_JUSTIFIED: no live sessions; recorded viewer only,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Toolbar customization,ODR-TOOLBAR-*,GlobalPreferenceCore.toolbarComposition,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Responsive 1440/1024/390,ODR-PARITY-*,SharedResponsivePresentationCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
Keyboard Context + RTL,ODR-PARITY-*,SharedFocusCore + SharedBidiPresentationCore,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,APPLICABLE,PASS_BY_WRITER_EVIDENCE,NOT_PERFORMED
