row_id,donor_mechanic,direct_donor_symbol_or_rule,w03_shared_owner,surface_scope,material_inheritance,writer_evidence,writer_disposition
DONOR-01,Theme profile / notion-dark,"html[data-theme=""notion-dark""]",GlobalPreferenceCore.ThemeProfile,ALL FIVE,"Deep Neutral maps to donor near-black grammar; shared root owner, no per-surface theme engine",IM-*-THEME,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-02,Pane preferred/effective state,PaneController / WorkspaceFrame,SharedPanePresentationCore,ALL FIVE,Preserve user preference vs effective responsive presentation; same owner across breakpoints,ODR-PARITY-* + screenshots,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-03,Context Inspector / Lens host,ContextInspector / ContextLensHost,SharedContextCore + domain adapter,ALL FIVE,RIGHT Context is single semantic host; pin/close/reopen/focus lifecycle preserved,IM-*-CTX,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-04,Transient lifecycle,BlockContextMenu / transient grammar,SharedTransientCore,ALL FIVE,"RMB/Shift+F10, Escape/outside lifecycle and no stale target",IM-*-CTX,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-05,Sticky note same-instance lifecycle,StickyNoteHost / StickyNoteWindowController / NotesLens,NoteWorkingState + SharedFloatingWindowCore,ALL FIVE,Anchored note promotes to sticky without changing note identity; reopen same instance,IM-*-NOTE,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-06,Settings / preference grammar,Settings + preference export/reset patterns,GlobalPreferenceCore,ALL FIVE,"Toolbar visibility/order, theme, guidance and layout presentation remain preferences, not domain truth",ODR-TOOLBAR-*,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-07,Toolbar/action progressive disclosure,EditorToolbar / CommandAvailabilityModel,SharedActionSurfaceCore,ALL FIVE,High-value controls remain visible where space permits; narrow hides secondary chrome without deleting capability,ODR-TOOLBAR-* + 390 screenshots,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-08,Focus return / accessibility,deterministic focus return patterns,SharedFocusCore,ALL FIVE,Context/transient close returns focus deterministically; keyboard Context parity preserved,IM-*-CTX + ODR-PARITY-*,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-09,Floating movement / resize,Sticky/floating window mechanics,SharedFloatingWindowCore,Operational Surface,"Operational window reuses pointer move, edge/corner resize and viewport clamp",IM-OPS-WINDOW,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-10,Responsive same-owner presentation,WorkspaceFrame responsive rules,SharedResponsivePresentationCore,ALL FIVE,"1440 / 1024 / 390 retain CENTER dominance, no body horizontal overflow, same RIGHT owner",ODR-PARITY-* + 15 screenshots,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-11,Command palette / alternate access,CommandPalette / SemanticCommandRegistry,SharedSemanticCommandCore,ALL FIVE,Hidden secondary chrome retains keyboard/palette access; one semantic command owner,interaction receipts + source static assurance,CORRECTED_FRESHLY_PROVEN_BY_WRITER
DONOR-12,Bidi / technical isolation,RTL shell + LTR technical atoms,SharedBidiPresentationCore,ALL FIVE,RTL shell retained; technical atoms remain LTR-isolated; no responsive direction collapse,ODR-PARITY-* + screenshots,CORRECTED_FRESHLY_PROVEN_BY_WRITER
