BLUEPRINT_REQ_ID,BLUEPRINT_LOCATION,BLUEPRINT_SELECTOR_OR_FUNCTION,BLUEPRINT_INTENT,CATEGORY,PRODUCTION_FILE,PRODUCTION_SYMBOL,PRODUCTION_STATE_OWNER,PRODUCTION_COMMAND_OWNER,PRODUCTION_STYLE_OWNER,PRODUCTION_API_OR_PERSISTENCE_OWNER,STATIC_PROOF,SEMANTIC_PROOF,TEST_PROOF,RUNTIME_PROOF,VISUAL_PROOF,RESPONSIVE_PROOF,A11Y_PROOF,BIDI_PROOF,VERDICT,SEVERITY,NOTES
LBP-001,Accepted Library v1.2.17:L1261,validTree,Validate structural tree and containment before commit,STRUCTURED_CONTENT,resources/js/shared/StructuredContentCore.ts,validateTree,StructuredDocument,content.validate,resources/css/workbench.css,LessonContentContract.php,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,Real validator exists; parent capability registry still diverges under C016.
LBP-002,Accepted Library v1.2.17:L1246,freshBlockId,Create stable block identity,STRUCTURED_CONTENT,resources/js/shared/StructuredContentCore.ts,generateStableId,StructuredDocument,block.insert,resources/css/workbench.css,LessonContentContract.php,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P0,"Successor IDs exist, but legacy PHP/TS normalization differs: C003."
LBP-003,Accepted Library v1.2.17:L1270,pushHistory,One semantic transaction creates one history entry,HISTORY,resources/js/shared/StructuredContentCore.ts,StructuredDocument.transact,StructuredDocument,history.commit,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-004,Accepted Library v1.2.17:L1008,undo,Undo scoped structured-content transaction,UNDO_REDO,resources/js/shared/StructuredContentCore.ts,StructuredDocument.undo,StructuredDocument,history.undo,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Data history exists; caret/focus bookmark restoration is not equivalent to Blueprint (C019).
LBP-005,Accepted Library v1.2.17:L1008,redo,Redo scoped structured-content transaction,UNDO_REDO,resources/js/shared/StructuredContentCore.ts,StructuredDocument.redo,StructuredDocument,history.redo,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Same caret/focus restoration gap as LBP-004.
LBP-006,Accepted Library v1.2.17:L1270,captureBookmark,Capture caret/focus before history transaction,FOCUS,resources/js/workbench/StructuredEditor.vue,focus + textarea selection,DOM transient focus,focus.capture,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,"Production re-focuses known blocks, but no equivalent history bookmark owner was found; C019."
LBP-007,Accepted Library v1.2.17:L1271,restoreBookmark,Restore caret/focus after undo/redo,FOCUS,resources/js/workbench/StructuredEditor.vue,focus,DOM transient focus,focus.restore,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,Requires real browser proof after implementation.
LBP-008,Accepted Library v1.2.17:L1321,insertBlock,Insert structured block,EDITOR,resources/js/shared/StructuredContentCore.ts,StructuredDocument.insert,StructuredDocument,block.insert,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-009,Accepted Library v1.2.17:L1459,openInsertion,Expose insertion catalog from block/gap context,EDITOR,resources/js/workbench/StructuredEditor.vue,openInsertion / chooseInsertion,Transient UI state,block.insert,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Before/after/inside exist; precise gap/inside targeting parity remains incomplete under C019.
LBP-010,Accepted Library v1.2.17:L1326,splitBlockAtCaret,Split block at caret preserving type semantics,EDITOR,resources/js/shared/StructuredContentCore.ts,StructuredDocument.enter,StructuredDocument,block.split,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-011,Accepted Library v1.2.17:L1322,structuralMergeBackward,Backspace boundary structural merge,EDITOR,resources/js/workbench/StructuredEditor.vue,keydown handler,StructuredDocument,block.mergeBackward,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,No deterministic boundary merge equivalent located; C019.
LBP-012,Accepted Library v1.2.17:L1325,structuralMergeForward,Delete boundary structural merge,EDITOR,resources/js/workbench/StructuredEditor.vue,keydown handler,StructuredDocument,block.mergeForward,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,No deterministic boundary merge equivalent located; C019.
LBP-013,Accepted Library v1.2.17:L1314,indentBlock,Structural indent / local logical indent,EDITOR,resources/js/shared/StructuredContentCore.ts,StructuredDocument.indent,StructuredDocument,block.indent,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-014,Accepted Library v1.2.17:L1315,outdentBlock,Structural outdent / local logical outdent,EDITOR,resources/js/shared/StructuredContentCore.ts,StructuredDocument.indent(out=true),StructuredDocument,block.outdent,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-015,Accepted Library v1.2.17:L1316,validateMoveTarget,Validate subtree movement target,EDITOR,resources/js/shared/StructuredContentCore.ts,StructuredDocument.move,StructuredDocument,block.move,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Button move exists; pointer gap-target validation is not equivalent.
LBP-016,Accepted Library v1.2.17:L1317,moveBlockToGap,Pointer reorder to precise gap/inside target,POINTER,resources/js/workbench/StructuredEditor.vue,none equivalent,StructuredDocument,block.move,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,C019 pointer drag/reorder gap.
LBP-017,Accepted Library v1.2.17:L1328,showDragPreview,Drag preview while moving structured blocks,POINTER,resources/js/workbench/StructuredEditor.vue,none equivalent,Transient drag state,block.move,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
LBP-018,Accepted Library v1.2.17:L1330,autoscrollDuringDrag,Autoscroll editor during drag,POINTER,resources/js/workbench/StructuredEditor.vue,none equivalent,Transient drag state,block.move,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
LBP-019,Accepted Library v1.2.17:L1331,describeInsertionTarget,Make drag insertion target explicit,POINTER,resources/js/workbench/StructuredEditor.vue,insertionWhere,Transient insertion state,block.insert,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,
LBP-020,Accepted Library v1.2.17:L1452,toggleAllWorkspaceToggles,Open/Close All structured toggles,EDITOR,resources/js/workbench/StructuredEditor.vue,toggle per block only,closed Set,toggle.all,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,C019 Open/Close All gap.
LBP-021,Accepted Library v1.2.17:L1225,blockSelection,Primary block selection,SELECTION,resources/js/shared/StructuredContentCore.ts,StructuredDocument.select,StructuredDocument.selection,selection.set,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-022,Accepted Library v1.2.17:L1475,setMultiBlockSelection,Multi-block selection,SELECTION,resources/js/workbench/StructuredEditor.vue,checkbox selection,StructuredDocument.selection,selection.extend,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Basic multi-select exists; Blueprint toolbar/action parity incomplete.
LBP-023,Accepted Library v1.2.17:L1101,renderSelectionToolbarButtons,Contextual selection toolbar,SELECTION,resources/js/workbench/StructuredEditor.vue,editor-toolbar,Transient selection UI,selection.action,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,Static toolbar is not selection-adjacent contextual toolbar; C019.
LBP-024,Accepted Library v1.2.17:L1505,positionSelectionBar,Selection toolbar anchored to actual selection,SELECTION,resources/js/workbench/StructuredEditor.vue,none equivalent,Transient selection UI,selection.action,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
