surface,workspace,mechanic,name,classification,reason,source,implementation
audit,W05,SC-001,GlobalShellCore,INHERIT_AND_BIND,Navigation owner shared; Shell composition explicitly reopened,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-002,WorkspaceRegionCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-003,PaneResponsiveCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-004,ContextInspectorCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-005,BottomDeepWorkCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-006,PresentationStateCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-007,GlobalPreferenceCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-008,PreferenceScopeResolver,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-009,GlobalSettingsIA,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-010,PreferencePersistenceCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-011,PreferenceExportImportResetModel,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-012,LocaleLanguagePresentationCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-013,DirectionAlignmentResolutionCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-014,TypographyAndScriptProfileCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-015,TechnicalTokenBidiIsolationCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,CONCEPT_CONTRACT_ONLY
audit,W05,SC-016,SemanticCommandCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
audit,W05,SC-017,ActionSurfaceCore,MANDATORY_INHERIT,Universal presentation/action/state boundary applies; domain supplies content only,BigBoss/O05/surfaces/audit.json + current Owner addendum,PARTIAL_EXECUTABLE_OWNER
