MATERIAL_CLUSTER,DONOR_FUNCTION_COUNT,CURRENT_STATUS_SUMMARY,EXEMPLAR_FUNCTIONS,CURRENT_PHYSICAL_OWNER,CORRECT_DURABLE_OWNER,CONTROLLER_DISPOSITION,ADMITTED_TASK_ID,WHY_MATERIAL
UNIFIED_EDITOR_BLOCK,99,MISSING_EXECUTABLE_EXTRACTION=96; LIBRARY_SPECIFIC_LEAKAGE=3,freshBlockId; blockHTML; blockText; maxBlockDepth; serializeBlocks; setCaretByTextOffset; resolveEmptyBlockDirection; blockEmptyDirectionHint,dist/foundation/accepted-runtime.js,STRUCTURED_FAMILY,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
SELECTION,41,MISSING_EXECUTABLE_EXTRACTION=41,rangeAtTextOffset; selectBlock; clearBlockSelection; portableInlineHTML; editorOwnedPortableInlineHTML; selectedCodePortableHTML; selectionBoundaryPortableHTML; selectionPortableHTML,dist/foundation/accepted-runtime.js,STRUCTURED/SPATIAL family-specific SelectionModel + shared ActionSurface protocol,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003;FND-RSM-P1-004,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
CLIPBOARD,21,MISSING_EXECUTABLE_EXTRACTION=19; PRESERVE_AND_IMPROVE=1; DUPLICATE_OWNER=1,portableInlineHTML; copyNode; editorOwnedPortableInlineHTML; copyOwned; codePortableHTML; blockPortableHTML; selectedCodePortableHTML; selectionBoundaryPortableHTML,dist/foundation/accepted-runtime.js,STRUCTURED_FAMILY,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
HISTORY_RECOVERY,6,MISSING_EXECUTABLE_EXTRACTION=6,pushHistory; undo; redo; captureBookmark; restoreBookmark; historyLens,dist/foundation/accepted-runtime.js,STRUCTURED_FAMILY state; global conventions only,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
STORAGE_SAVE,4,MISSING_EXECUTABLE_EXTRACTION=3; DUPLICATE_OWNER=1,setSaveState; scheduleAutosaveSimulation; persistPresentationPreferences; explicitSaveSimulation,dist/foundation/accepted-runtime.js,StructuredDocumentDomainAdapter persistence boundary,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
WORKSPACE_PANE_LAYOUT,17,LIBRARY_SPECIFIC_LEAKAGE=4; MISSING_EXECUTABLE_EXTRACTION=9; PRESERVE_AND_IMPROVE=3; LIBRARY_DOMAIN_ONLY=1,workspaceToggleState; updateAllWorkspaceToggleControl; toggleAllWorkspaceToggles; effectivePaneState; setPaneState; paneLimits; clampPaneWidths; paneResizeAvailable,dist/foundation/accepted-runtime.js,GLOBAL_FOUNDATION,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-005,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
CONTEXT_INSPECTOR,36,MISSING_EXECUTABLE_EXTRACTION=25; LIBRARY_DOMAIN_ONLY=7; DUPLICATE_OWNER=4,contextualInsertionDirection; applyCodeViewPreferences; relatedContextProjection; applyBlockFocusPreferenceDatasets; selectionContext; contextBlockId; syncContextScopeButtons; renderContextLenses,dist/foundation/accepted-runtime.js,GLOBAL_FOUNDATION presentation + descriptor adapter,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-005,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
NOTES_STICKY,14,MISSING_EXECUTABLE_EXTRACTION=13; PRESERVE_AND_IMPROVE=1,getNote; freshNoteId; relatedNotes; notesLens; createNote; renderNotes; renderNoteWindow; updateNoteStatus,dist/foundation/accepted-runtime.js,STRUCTURED minimum binding seam now; full cross-family NotesCore deferred,MINIMUM_BINDING_NOW_FULL_CORE_DEFER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
PREFERENCES_SETTINGS,19,MISSING_EXECUTABLE_EXTRACTION=15; DUPLICATE_OWNER=4,scheduleAutosaveSimulation; applyCodeViewPreferences; applyBlockFocusPreferenceDatasets; preferenceSnapshot; applyPreferenceSnapshot; resolvedSystemTheme; applyPresentationPreferences; applyDisclosurePreferenceOnOpen,dist/foundation/accepted-runtime.js,GLOBAL_FOUNDATION ScopedPreferences canonical,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-005,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
FOCUS_ACCESSIBILITY,11,MISSING_EXECUTABLE_EXTRACTION=11,announce; applyBlockFocusPreferenceDatasets; setBlockFocusOrigin; dismissMainBlockFocus; focusBlock; configureTooltips; toggleFocus; focusableIn,dist/foundation/accepted-runtime.js,GLOBAL_FOUNDATION host focus + family-specific semantic focus,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-005;FND-RSM-P1-007,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
COMMAND_ACTION,10,MISSING_EXECUTABLE_EXTRACTION=3; DUPLICATE_OWNER=4; PRESERVE_AND_IMPROVE=3,logCommand; commandAvailability; commandEnabled; openShortcutHelp; openCommandPalette; commandPaletteItems; renderCommandResults; executePaletteCommand,dist/foundation/accepted-runtime.js,GLOBAL SemanticCommand registry + family availability resolver,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-004,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
DRAG_POINTER,13,MISSING_EXECUTABLE_EXTRACTION=10; PRESERVE_AND_IMPROVE=3,showDragPreview; hideDragPreview; autoscrollDuringDrag; marqueeSafeTarget; startBlockMarquee; updateBlockMarquee; finishBlockMarquee; openBackdrop,dist/foundation/accepted-runtime.js,SPATIAL_FAMILY,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-007,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
RESPONSIVE,4,MISSING_EXECUTABLE_EXTRACTION=3; PRESERVE_AND_IMPROVE=1,clampNote; responsiveBand; clampPaneWidths; applyResponsivePolicy,dist/foundation/accepted-runtime.js,GLOBAL_FOUNDATION preferred/effective layout projection,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P1-005,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
CODE,13,MISSING_EXECUTABLE_EXTRACTION=12; LIBRARY_SPECIFIC_LEAKAGE=1,codeRaw; inferCodeLanguage; syntaxTokens; syntaxRenderSegment; renderCodeMarkup; codeLineLabels; applyCodeViewToElement; applyCodeViewPreferences,dist/foundation/accepted-runtime.js,STRUCTURED_FAMILY code-block behavior,EXTRACT_MATERIAL_CLUSTER,FND-RSM-P0-003,"Cross-consumer reuse, canonical ownership, or Writer-cost leverage; census count itself is not an implementation count."
LEAK-001,,All supported consumers bootstrap accepted-runtime,dist/main.js:12-34,dist/main.js + accepted-runtime.js,Conditional Library compatibility donor; non-Library family bootstrap independent,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,Cut unconditional mount only after required Global/Structured mechanics have extracted owners; retain Library donor path.
LEAK-002,,Structured editor mechanics require Library fixture/KU/tree/search state,v0.2.1 F002; 330 census; accepted-runtime state,accepted-runtime.js,StructuredFamilyEngine + StructuredDocumentDomainAdapter,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P0-003,Executable adapter and clean Structured host; Library tree/search supplied only by LibraryDomainAdapter.
LEAK-003,,Workspace panes/layout state is implemented inside accepted Library runtime,FOUNDATION_RUNTIME_REGISTRY WorkspaceFrame; 330 WORKSPACE_PANE_LAYOUT rows,accepted-runtime.state.surface + donor pane functions,Global WorkspaceFrame / PaneLayoutController,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,Extract pane state/resize/reveal/close/effective viewport behavior as shared owner; region content remains domain-owned.
LEAK-004,,Context Inspector reusable shell and Library/KU lenses are interleaved,330 CONTEXT_INSPECTOR rows; DOMAIN_ONLY overview/source/relation/lab/project/evidence lenses,accepted-runtime renderInspector/context lenses,Global ContextInspector + ContextDescriptor provider,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,Move only descriptor/domain fields behind adapter; preserve presentation/focus behavior as shared.
LEAK-005,,Notes lifecycle/presentation lives in accepted runtime while binding is injected ad hoc,"dist/main.js:24,46-48; 330 NOTES_STICKY rows",accepted-runtime notes + dist/main.js extension.noteBinding,NotesCore + NotesBindingAdapter,PRESERVE_FINDING_BUT_BOUND_SCOPE,,One reusable note state/presentation owner; adapters provide document/object/surface binding and optional source metadata.
LEAK-006,,Learn is created by modifying Library fixture bundle before donor runtime mount,"dist/main.js:17-20,54-61",dist/main.js:17-20 + accepted-runtime,LearnDomainAdapter implementing StructuredDocumentDomainAdapter,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P0-003,Supply Learn documents/schema/save/progress bindings directly; no fake Library fixture mutation needed for editor reuse.
LEAK-007,,Non-structured Spatial/Operational consumers still pay donor runtime construction cost and inherit donor shell state,"dist/main.js:33-35,63+",dist/main.js:33-35,Global WorkspaceFoundation independent of Library donor,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,"Once global pane/context/notes/focus dependencies are extracted, mount Spatial/Operational families directly."
LEAK-008,,Preference projection is mirrored in accepted-runtime state and has donor persistence helpers,dist/main.js:26-27; 330 PREFERENCES_SETTINGS rows,ScopedPreferences + accepted-runtime preference state/functions,ScopedPreferences canonical; donor state is projection only,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,Machine-enforce single persistence owner and mark donor snapshot as non-canonical projection.
LEAK-009,,Donor CSS/runtime presentation remains global even when center Library document is hidden,dist/main.js spatial path hides donor .docscroll after mount; donor CSS bundled globally,accepted donor presentation layer,Global tokens/layout + family CSS; Library styles scoped to Library compatibility host,PRESERVE_FINDING_BUT_BOUND_SCOPE,FND-RSM-P1-005,Do not bulk rewrite CSS; scope only selectors that leak after shared host extraction.
LEAK-010,,330 census target proves preservation but not reusable extraction,archaeology/ACCEPTED_LIBRARY_330_FUNCTION_COVERAGE.csv:330/330 same target,All 330 rows target dist/foundation/accepted-runtime.js,Row mechanics progressively owned by Global/Structured/Library adapter boundaries,PRESERVE_FINDING_BUT_BOUND_SCOPE,,"Use census as extraction ledger; migrate high-reuse clusters only, with parity tests and no donor deletion."
