surface,family,status,routeCount,genuineRouteMarker,marker1440,marker1024,m0Fallback1440,m0Fallback1024,sharedCompareOwner,sharedTimelineOwner,rtl1440,reducedMotion1440,screenshot1440,screenshot1024
shell,global,PASS,23,.m0-home,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/shell-1440x1000.png,assurance/R6_OD057_BROWSER/shell-1024x900.png
today,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/today-1440x1000.png,assurance/R6_OD057_BROWSER/today-1024x900.png
library,structured,PASS,23,#editorDocument,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/library-1440x1000.png,assurance/R6_OD057_BROWSER/library-1024x900.png
learn,structured,PASS,23,#blockList,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/learn-1440x1000.png,assurance/R6_OD057_BROWSER/learn-1024x900.png
rq,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/rq-1440x1000.png,assurance/R6_OD057_BROWSER/rq-1024x900.png
visualize,spatial,PASS,23,.spatial-canvas,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/visualize-1440x1000.png,assurance/R6_OD057_BROWSER/visualize-1024x900.png
enterprise,spatial,PASS,23,.spatial-canvas,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/enterprise-1440x1000.png,assurance/R6_OD057_BROWSER/enterprise-1024x900.png
labs,structured,PASS,23,"[data-m0-structured-studio=""true""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/labs-1440x1000.png,assurance/R6_OD057_BROWSER/labs-1024x900.png
results,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/results-1440x1000.png,assurance/R6_OD057_BROWSER/results-1024x900.png
runs,operational,PASS,23,.spatial-canvas,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/runs-1440x1000.png,assurance/R6_OD057_BROWSER/runs-1024x900.png
scenarios,structured,PASS,23,"[data-m0-structured-studio=""true""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/scenarios-1440x1000.png,assurance/R6_OD057_BROWSER/scenarios-1024x900.png
evidence,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/evidence-1440x1000.png,assurance/R6_OD057_BROWSER/evidence-1024x900.png
mastery,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/mastery-1440x1000.png,assurance/R6_OD057_BROWSER/mastery-1024x900.png
portfolio,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/portfolio-1440x1000.png,assurance/R6_OD057_BROWSER/portfolio-1024x900.png
reviews,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/reviews-1440x1000.png,assurance/R6_OD057_BROWSER/reviews-1024x900.png
configuration,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/configuration-1440x1000.png,assurance/R6_OD057_BROWSER/configuration-1024x900.png
manual_ai,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/manual_ai-1440x1000.png,assurance/R6_OD057_BROWSER/manual_ai-1024x900.png
releases,global,PASS,23,[data-r6-workbench],True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/releases-1440x1000.png,assurance/R6_OD057_BROWSER/releases-1024x900.png
backup,global,PASS,23,"[data-w05-surface=""backup""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/backup-1440x1000.png,assurance/R6_OD057_BROWSER/backup-1024x900.png
health,global,PASS,23,"[data-w05-surface=""health""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/health-1440x1000.png,assurance/R6_OD057_BROWSER/health-1024x900.png
processing,global,PASS,23,"[data-w05-surface=""processing""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/processing-1440x1000.png,assurance/R6_OD057_BROWSER/processing-1024x900.png
audit,global,PASS,23,"[data-w05-surface=""audit""]",True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/audit-1440x1000.png,assurance/R6_OD057_BROWSER/audit-1024x900.png
validation,global,PASS,23,.validation-product,True,True,False,False,AnalyticalCompareOwner,TimelineReplayOwner,True,True,assurance/R6_OD057_BROWSER/validation-1440x1000.png,assurance/R6_OD057_BROWSER/validation-1024x900.png
