id,class,severity,old_or_source,current_or_conflict,resolution
INV-CONF-001,REGISTER_ID_COLLISION,P0_CONTROL_INTEGRITY,CEP_CONTROLLER_ZERO_LOSS_KNOWLEDGE_REGISTER_v1.0.json,CK-024 exists twice with contradictory dispositions: CURRENT_OPEN_GATE vs ACTIVE_CONTROL_KNOWLEDGE,Assign unique IDs / preserve both provenance rows; current Controller must not infer state by CK-024 alone.
INV-CONF-002,STALE_MANIFEST_REFERENCE,P1,CEP_CONTROLLER_OPERATING_SYSTEM_MANIFEST_v1.0.md,OS manifest names CEP_CONTROLLER_CURRENT_RECOVERY_HANDOFF_v2.0 while v2.0/v2.1 are archived and v2.2 exists in active OS handoff folder.,Manifest needs successor pointer/update; do not delete old handoffs.
INV-CONF-003,COLOCATED_CURRENT_VERSION_AMBIGUITY,P1,00_CURRENT_CONTROL,CEP_CURRENT_CONTROLLER_STATE_v1.6 and v1.7 coexist; pointer explicitly selects v1.7.,Treat pointer+v1.10 manifest as resolver; later canonicalization should move superseded current-folder versions or attach explicit superseded markers.
INV-CONF-004,COLOCATED_CURRENT_VERSION_AMBIGUITY,P1,00_CURRENT_CONTROL,CURRENT_MANIFEST v1.9 and v1.10 coexist; pointer selects v1.10.,"Same as above: retrieval must follow exact pointer, never newest-looking filename alone."
INV-CONF-005,OWNER_NORMATIVE_SUPERSESSION,P0_DESIGN,"Older Arabic-first / fixed RTL formulations, including accepted donor presentation profile",OSD-065..079: product language/direction/alignment/settings are configurable; language != direction; global owner with scoped overrides.,"Preserve donor mixed-script/Bidi mechanics and Arabic profile, but do not hard-code Arabic-first as product law."
INV-CONF-006,OWNER_NORMATIVE_SUPERSESSION,P0_LEARN,Older Learn restriction: CENTER authoring ban / main editor NOT_APPLICABLE,O01 supersession graph + OSD-012..016: Learn is Library-lineage editable workbench; CENTER may be editable where content is editable.,Mark old categorical restriction SUPERSEDED; re-run Learn inheritance census from current Owner intent.
INV-CONF-007,DONOR_PRESERVE_PLUS_IMPROVE,P1_INTERACTION,Accepted Library Command Palette / historical dismissal behavior,OSD-017..021 require multi-route essential interaction and Command Palette not Escape-only.,Keep accepted visual/layout/command mechanics; improve dismissal routes without creating a second command owner.
INV-CONF-008,CANDIDATE_NOT_AUTHORITY,P0_W03,W03 v3.3/v3.3.1/v3.4 blueprint candidates,Owner Direct Review withdrew content-complete status; v3.4 remains Writer candidate and independent/Owner adjudication is still required.,Mine value and evidence only; never use latest W03 blueprint as final product authority.
INV-CONF-009,PROPOSAL_NOT_AUTHORITY,P1_W03,69-section W03 world-class proposal,High-value owner-sponsored proposal but not frozen authority; all 0–68 sections require explicit reconciliation.,Preserve professional needs through explicit disposition: exact / stronger equivalent / adapted / justified N/A / open missing.
INV-CONF-010,TRACEABILITY_NON_COLLAPSE,P0_METHOD,ZERO_ORPHAN / source-handled / static PASS artifacts,Controller lessons CL-002..006: mapping PASS != implementation; handler presence != interaction; source-handled != runtime/visual proof.,"Future Foundation/Writer Factory must keep requirement, implementation, interaction, visual, runtime and Owner acceptance dimensions separate."
INV-CONF-011,SHELL_AUTHORITY_REOPENED,P0_DESIGN,Older AppShell/W02Nav reuse-as-is mappings,Current Owner direct critique: shell/nav organization and visual strength are not accepted as final; only useful mechanics should be mined.,Reopen Shell visual/navigation architecture; do not discard navigation/context-preservation mechanics.
INV-CONF-012,PROJECT_IDENTITY_SUPERSESSION,P0_ARCHITECTURE,Historical web-production assumptions (login/auth/deployment/security ceremony),Current Owner direct decision: CEP is personal/local/single-owner; no login/roles/SaaS/cloud requirement by default.,Do not admit backend/security/deployment complexity unless a concrete functional capability proves need.
INV-CONF-013,CUSTOMIZATION_GENERALIZATION,P0_DESIGN,Fixed defaults scattered across historical blueprints/preferences,"Current Owner decision reinforced by OSD-002, OSD-019, OSD-065..079: broad reversibility/customization and scoped preferences are default philosophy.",Foundation must separate safe defaults from Owner preferences/effective responsive state and expose reset/import/export where useful.
INV-CONF-014,DUPLICATION_EXPECTED_VS_DANGEROUS,P1_ARCHITECTURE,887 exact recursive text-duplicate groups,Most are historical/evidence carry-forward; some active duplicate-owner patterns previously caused Ctrl+S/Escape/Focus bugs.,Archive duplication is provenance; active behavioral duplication inside one candidate is defect. Future Foundation requires one state/command/event owner per generic family.
