TASK_ID,PRIORITY,SOURCE_REQUIREMENT_IDS,OWNER_ORIGIN,WHY_HIGH_VALUE,CURRENT_STATE,CURRENT_OWNER,TARGET_OWNER,OWNERSHIP_LAYER,AFFECTED_FAMILY,AFFECTED_SURFACES,EXPECTED_FILES_OR_AREAS,REQUIRED_CHANGE,FORBIDDEN_CHANGE,REQUIRED_ADAPTER,SEMANTIC_COMMAND_OWNER,STATE_OWNER,DEPENDENCIES,AUTOMATED_TEST,SCREENSHOT_REQUIRED_YES_NO,STOP_CONDITION
FND-RSM-P0-001,DO_NOW_P0,OWNER-W03-AUTH-CURRENT; C/F001; B/C03; A/W03 authority atoms,DIRECT_CURRENT_OWNER + current v0.2.1 review,Active generators can reproduce a false W03 implementation-authority rule; this contaminates every future Writer intake.,PRESENT_BUT_WRONG: token/semantic alias exists in generated authority artifacts and generators.,authority generators + generated registries/handoff artifacts,Canonical authority registry/generators with W03 donor-only disposition,GLOBAL_FOUNDATION / WRITER_GOVERNANCE,ALL,All future consumers of Foundation authority,tools/extract-w03-v34.py; tools/build-writer-contracts.py; tools/finalize-candidate.py; authority/*; contracts/FOUNDATION_RUNTIME_REGISTRY.json; FINAL_HANDOFF_AR.md; architecture prose that carries semantic alias,"Replace wrong W03 baseline authority with W03_V3_4_SAME_LINEAGE_VALUE_DOMAIN_REQUIREMENT_EVIDENCE_DONOR_NOT_AUTHORITY in source generators, regenerate derived artifacts, and disposition each reused W03 item independently.",Do not redesign W03; do not copy W03 UI/layout/component architecture; do not use old Production/GitHub as replacement authority.,None; W03 domain requirements may later enter domain adapters only after independent disposition.,No command change required.,Authority/requirement registry state only.,None; run first.,Negative scan exact token + semantic aliases = 0 after regeneration; positive assertion exact donor-only authority status present in generator outputs.,NO,All active generated artifacts and their generators pass negative/positive authority scans.
FND-RSM-P0-002,DO_NOW_P0,DIRECT-OWNER-DEFERRED-VALUE-FILTER-20260911; C section 12/14 stale zero-loss law,DIRECT_CURRENT_OWNER,"Prevents every future Writer from carrying obsolete, duplicate and low-value historical work as active obligation.",WRONG_GOVERNANCE: current v0.2 check/mission still encodes deferred.zero_loss / DEFERRED_WORK_ZERO_LOSS.,"Foundation governance registries, checks, handoff/finalization generators",Value-filtered deferred-work governance contract,GLOBAL_FOUNDATION / WRITER_GOVERNANCE,ALL,All future Writer missions,deferred/open-work registries; conformance checks; finalize/handoff generators; Writer intake output,Replace zero-loss active backlog semantics with value filtering; emit active high-value deferred entries separately from dropped/superseded/duplicate/historical traceability.,Do not delete provenance; do not turn dropped traceability into future implementation obligation.,None,None,Deferred-work governance registry,P0-001 if common generators are regenerated together.,"Fixture containing high-value, low-value, duplicate, superseded and historical items yields only valuable active backlog and separate exclusion register; obsolete DEFERRED_WORK_ZERO_LOSS status absent.",NO,Generated handoff/scaffold and npm check enforce value-filtered deferred semantics.
FND-RSM-P0-003,DO_NOW_P0,C/F002; B/C01; B/ABS-001; B/ABS-002; Owner Structured/editor requirements,OWNER_KNOWLEDGE + VALIDATED_CHAT_B + current v0.2.1,"Breaks the most expensive Library-specific dependency and creates the reusable Structured family boundary needed by Library, Learn and future document surfaces.",PARTIAL: accepted-runtime.js contains reusable editor behavior but non-Library composition mounts Library-oriented runtime/state.,dist/foundation/accepted-runtime.js + Library-oriented runtime state,StructuredFamilyEngine/StructuredSurfaceHost + StructuredDocumentDomainAdapter; thin LibraryDomainAdapter and LearnDomainAdapter,STRUCTURED_FAMILY + DOMAIN_ADAPTER,STRUCTURED_FAMILY,Library; Learn; future structured-document surfaces,new/existing structured family module(s); domain adapter contracts; stack/native-typescript composition; donor compatibility seam; conformance tests,"Extract minimum durable editor/document mechanics: identity, working revision/state, structured model, schema/capabilities, commit/save, selection/clipboard, undo-redo/history/recovery ownership, domain metadata, command availability, and minimum Notes/source binding seam. Learn must bind its own domain adapter rather than cloning Library fixture/state.",No 330-function rewrite; no Library tree/search/KU semantics in shared engine; no global mutable history core; no final editor redesign.,StructuredDocumentDomainAdapter + LibraryDomainAdapter + LearnDomainAdapter,SemanticCommand registry remains global; Structured family registers document commands; adapter supplies domain availability/capabilities.,Structured family owns reusable document working state; domain adapter owns domain identity/metadata/persistence mapping; history stays family-scoped.,P0-001 authority first; preserve donor provenance.,Synthetic non-Library adapter mounts/edit/undo-redo/save without Library fixture/search/tree/KU state; Library donor-parity smoke; Learn state independence.,YES — one representative structured surface only if visible composition changes,"A non-Library synthetic/Learn consumer exercises shared Structured mechanics without accepted Library domain state, while Library compatibility remains proven."
FND-RSM-P1-004,DO_NOW_P1,DIRECT-OWNER-MULTISELECT-LAW; C addendum B; B/C04,DIRECT_CURRENT_OWNER + VALIDATED_CHAT_B,Prevents divergent toolbar logic and makes Connect/destructive actions correct for every Spatial consumer.,"PARTIAL: shared Selection Action Surface exists, but availability logic is split/insufficiently canonical.",selection action surface + command/domain checks in several routes,ActionAvailabilityResolver (or equivalent single canonical contract),GLOBAL_FOUNDATION contract + SPATIAL_FAMILY resolver rules + DOMAIN_ADAPTER capability,SPATIAL_FAMILY; potentially other action-surface families,Visualize; eligible W03 spatial consumers; future spatial surfaces,ActionAvailability contract/resolver; Selection Action Surface; RelationDomainAdapter integration; command preflight,Derive action visibility/enabled state from selection count/types/compatibility/domain capabilities/canonical state/mode/registered command/destructive policy. Connect only for exactly two eligible endpoints unless adapter declares deterministic bulk semantics.,No per-surface Visualize/Enterprise/Scenario/Lab selection toolbars; no implicit pairwise bulk connect.,RelationDomainAdapter and domain capability descriptors,Global SemanticCommand registry; each action resolves to one registered command.,"Canonical selection model remains family/domain appropriate; resolver is derived state, not a second canonical store.",Preserve RelationInteraction.,"Availability matrix for 0/1/2/>2 selections, mixed entity types, incompatible endpoints, disabled domain capability, duplicate relation/canonical constraints, destructive policy; UI and command preflight return same result.",YES — compact action surface for exactly-two eligible selection,One availability result drives presentation and command preflight across at least Visualize and one eligible W03 consumer.
FND-RSM-P1-005,DO_NOW_P1,B/C02+C05+C06+C10; Owner central-modification law,VALIDATED_CHAT_B_RECLASSIFIED + DIRECT_CURRENT_OWNER,One bounded extraction removes the common accepted-runtime host choke point instead of creating four competing abstractions.,PARTIAL_TRANSITIONAL: WorkspaceFoundation facade delegates pane/transient/inspector behavior to donor DOM/runtime; mountAcceptedRuntime is unconditional in current composition.,accepted-runtime.js + WorkspaceFoundation facade,"WorkspaceFoundation shared host with PaneLayoutController, global transient/focus lifecycle, reusable ContextInspector presentation + ContextDescriptorProvider boundary",GLOBAL_FOUNDATION,STRUCTURED; SPATIAL; OPERATIONAL,Representative Library/Learn/Visualize/W03 consumers,foundation/workspace host; pane/layout/preferences; context inspector; transient/focus lifecycle; stack bootstrap/composition,Extract only the cross-family host mechanics needed to make representative non-Library consumers cease unconditionally depending on accepted-runtime. Keep preferred vs effective pane state distinct and keep domain context supplied through descriptors.,No broad donor CSS rewrite; no final Shell redesign; no merging family-specific selection/history/session state into global host.,ContextDescriptorProvider or equivalent domain/family descriptor boundary,Global commands for pane/context/focus actions only.,Global workspace layout/transient/focus state; domain-specific context remains outside.,P0-003 establishes Structured seam; P1-004 for shared selection action context where relevant.,Donor-free host fixture; preferred/effective pane state; transient dismissal; focus restoration; same ContextInspector presentation with at least two descriptor providers; representative non-Library bootstrap has no unconditional accepted-runtime dependency.,YES — one pane/context responsive state,Shared host mechanics are owned once and at least two families inherit them without Library-domain state.
FND-RSM-P1-006,DO_NOW_P1,DIRECT-OWNER-INTERNAL-SIM-LAW; C/F003; B/C08,DIRECT_CURRENT_OWNER + VALIDATED_CHAT_B,Keeps Operational family reusable while preserving the already-proven internal simulation path.,PRESENT_BUT_WEAK: generic Operational presentation contains InternalSimulation-specific labels/ownership assumptions.,Operational shared layer with hardcoded InternalSimulation metadata,RuntimeProviderDescriptor supplied by RuntimeAdapter; InternalSimulationAdapter remains provider implementation,OPERATIONAL_FAMILY + DOMAIN/PROVIDER_ADAPTER,OPERATIONAL_FAMILY,W03 runtime/terminal surfaces and future operational consumers,OperationalSurfaceManager; TerminalSurface; RuntimeAdapter contract; provider metadata/capabilities; tests,"Move provider label, owner, capabilities and command capability metadata behind RuntimeAdapter/provider descriptor. Preserve stable session identity and truthful live/recorded semantics.","Do not add PTY, PowerShell, WSL, Docker, VM, SSH, remote shell or external provider implementations.",RuntimeAdapter + RuntimeProviderDescriptor + InternalSimulationAdapter,Global SemanticCommand routes operational command to RuntimeAdapter; provider handles supported command execution.,OperationalSessionModel owns session identity; SimulatedDeviceEngine owns canonical simulated device state.,Preserve existing causal simulation engine.,Provider metadata fixture proves generic UI changes with descriptor; shutdown causal path changes same device state observed by terminal/node/context/telemetry; unsupported provider capability hides/disables command truthfully.,YES — one provider-neutral terminal/session presentation if visual label changes,No InternalSimulation-specific identity is hardcoded in reusable Operational presentation and causal simulation remains green.
FND-RSM-P1-007,DO_NOW_P1,C/F007+F008; B/C11+C12; Owner pointer/keyboard laws,OWNER_KNOWLEDGE + VALIDATED_CHAT_B,Closes shared Spatial interaction defects before they multiply across graph/topology/canvas consumers.,PARTIAL_NEEDS_EXTENSION,Spatial interaction engine,Spatial pointer lifecycle + SemanticSpatialNavigator,SPATIAL_FAMILY,SPATIAL_FAMILY,Visualize; W03 graph/topology; future spatial consumers,pointer/context lifecycle; keyboard navigation; focus rendering; spatial conformance tests,"Terminate Ctrl+RMB suppression on pointerup/pointercancel/missing-contextmenu/abnormal termination; define semantic keyboard minimum separating focus, selection, camera movement and object movement.",Do not build exhaustive graph screen-reader system or surface-specific keyboard forks.,Spatial domain focusability/action descriptors where domain semantics differ,Registered spatial commands for activate/context/edit/escape/relation routes.,Spatial focus state distinct from SelectionModel; camera/model state remain their canonical owners.,P1-004 availability contract for context actions.,"Ctrl+RMB drag suppresses only its own context event then next normal RMB opens actions; pointercancel/abnormal cleanup; directional focus, activation, selection extension, Escape and visible focus independent of selection.",NO unless focus-ring appearance materially changes,All pointer lifecycle regressions and semantic keyboard minimum pass on shared engine.
FND-RSM-P1-008,DO_NOW_P1,C/F004+F005; A W03 318 atoms/69 sections; DIRECT_CURRENT_OWNER W03 policy,OWNER_KNOWLEDGE + current v0.2.1,Gives future Writers truthful reusable dispositions without converting historical W03 detail into implementation authority or 69 tasks.,PARTIAL: current 69-section disposition has broad OPEN_MISSING and profile semantics remain partial.,W03 authority/disposition registry + SurfaceProfile scaffold,Requirement/reuse disposition registry with exact reusable-owner classifications,WRITER_GOVERNANCE + relevant FAMILY/DOMAIN classifications,GLOBAL; SPATIAL; OPERATIONAL; STRUCTURED where applicable,W03 Enterprise/Scenarios/Labs/Runs/Results and future consumers of extracted mechanics,W03 disposition map; profile schema/rows exposed by changed ownership; Writer intake registry,Compile all 69 sections/318 atoms into reusable mechanic/domain-value groups; close only Foundation-relevant subset as reconciled/partial/deferred/superseded/not-foundation/owner-decision. Correct profile contradictions caused by new owners while keeping SEMANTIC_ADJUDICATION_PARTIAL.,No 69 feature tasks; no W03 layout/design authority; no all-23-surface adjudication.,Thin W03 domain adapters only where executable domain semantics are actually needed.,"Reference existing/new canonical command owners, never W03-local duplicates.",Reference canonical owner per mechanic; disposition registry itself owns no runtime state.,"P0-001, P0-003, P1-004/005/006/007 so dispositions point to final owners.",69 sections present exactly once at section level; 318 source atoms trace to grouped owner/disposition; no atom becomes standalone implementation task by default; changed profile rows validate against schema.,NO,Foundation-relevant subset has truthful exact disposition and every deferred pointer names future family/surface owner.
FND-RSM-P1-009,DO_NOW_P1,C/F006; C section 5/10; Owner test economics,DIRECT_CURRENT_OWNER + current v0.2.1,Turns high-value interaction claims into reproducible evidence and reduces repeated manual Writer proof.,MISSING_REPRODUCIBLE_BROWSER_HARNESS; unit/check suites already green on baseline.,existing test/check tooling + static receipts,Small deterministic browser/conformance harness,GLOBAL_FOUNDATION / CONFORMANCE_TEST,GLOBAL; SPATIAL; OPERATIONAL; STRUCTURED,Representative consumers only,test harness; 4–6 critical flow specs; receipts; targeted screenshots,Automate only critical cross-owner flows and pair visual checks with canonical-state/command assertions. Add central-modification proof.,No exhaustive screenshot inventory or permutation explosion; screenshots cannot substitute causal assertions.,Use real test adapters/fixtures matching P0/P1 contracts.,Assert commands route through registry to canonical owners.,"Assert canonical stores, do not add test-only product state.",Run after behavior-changing P0/P1 tasks.,4–6 browser flows: workspace pane/context; selection→Connect→Composer→edge; relation edit convergence/reuse; operational session→shutdown causal sync; structured donor-free flow or Bidi/preference smoke; plus central modification inheritance.,YES — maximum 3–4 targeted visual captures total,Harness is deterministic/rerunnable; all flows green; screenshots limited to properties not sufficiently communicated by state assertions.
FND-RSM-P1-010,DO_NOW_P1,C addendum C/D/E/G; B/C09+C14+C15; DIRECT_CURRENT_OWNER future-Writer system,DIRECT_CURRENT_OWNER + VALIDATED_CHAT_B,Encodes corrected ownership so future Writers consume Foundation instead of rediscovering architecture or copying mechanics.,PARTIAL: ownership/profile/contract registries exist; duplicate guard and scaffold are incomplete.,Foundation registries/contracts/profile scaffold,MechanicOwnershipConformanceGuard + lightweight contract versions + deterministic Foundation WriterScaffoldGenerator,WRITER_GOVERNANCE,ALL,Future Writer targets,ownership registry; duplicate guard; contract metadata; scaffold generator; profile output; conformance tests,"After runtime owners are corrected, encode mechanic owner/state owner/command owner/adapters/consumers/deviations; version durable contracts; generate surface intake with Foundation identity, profile, inherited family, adapters, commands, preferences, duplicate prohibitions, valuable deferred items and minimum proof.",No GitHub branch/SHA/old Production mapping prerequisite; no auto-building surfaces; no package-management bureaucracy; no claim profile semantic completeness.,Scaffold references required domain adapters; does not implement them.,Registry metadata only.,Registry metadata only.,LAST: P0-001..003 and P1-004..008 must establish correct owners first.,"Duplicate-owner fixtures flag likely duplicate relation/pane/context/session managers; compatible vs breaking contract version fixture; scaffold smoke for Structured, Spatial and Operational targets contains no GitHub/old Production assumptions and only high-value deferred entries.",NO,"Generated Writer intake is deterministic, current-owner-correct, source-scope-clean and reduces rediscovery without implementing target surface."
