source_name,sha256,bytes,catalog_classification,canonical_authority_class,normative_use,descriptive_use,currentness,acceptance_status,direct_read_requirement,value_preservation_or_reuse,supersession_status,hard_prohibition,content_structure,mission_rule,current_owner_accepted_target,review_scope,foundation_intake_status,foundation_implementation_authority,foundation_intake_note
CELL_02_5_SUCCESSOR_DRIVE_CUSTODY_FRESH_BOOTSTRAP.py,798b7668686c2947104bead10bde30d8cab19834f91842fee3128ac2a0eceb79,16658,RUNTIME_COLAB_METHOD_OR_EVIDENCE,RUNTIME_METHOD_OR_EVIDENCE,NO_PRODUCT_DESIGN,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,EVIDENCE_CLASS_ONLY,YES_FOR_RUNTIME_CUSTODY_OR_TEST,REUSE_RUNTIME_METHOD,NONE_KNOWN,RUNTIME_PASS_NE_OWNER_DESIGN_ACCEPTANCE,,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip,cc852b6d6b3dd6404ea81a9129a00611558d7dc540a82a248b0f4844d6e8eb33,1441523,SUPPORTING_CONTROL_OR_EVIDENCE,ADMITTED_BIG_BOSS_DECISION_COMPILER,YES_WHERE_ADMITTED_AND_NOT_SUPERSEDED,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_PROOF_OR_FREEZE,YES_FOR_DECISIONS,REUSE_CONCEPTUAL_DECISIONS_NOT_STACK_PATHS,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"ZIP members=483; types={'.csv': 28, '.md': 20, '.json': 396, '.html': 1, '.txt': 14, '.py': 22, '.sha256': 1, '.ts': 1}",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_COLAB_DRIVE_CUSTODY_AND_EXECUTION_STANDARD_v1.0.md,d46a70c09ba6aba5f10fc5b758b33483fd4de3b03362c2ff70aed415163f8fa4,6278,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP COLAB + GOOGLE DRIVE EXECUTION/CUSTODY STANDARD v1.0 | 1. Purpose | 2. Authority model | 3. Exact-input law for existing Drive artifacts | 4. New-artifact Drive custody law | Critical distinction | 5. Drive error classification | Harmless warning | Material failure | 6. Existing-notebook law | 7. Cell execution law | 8. Toolchain law,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_ADJUDICATION_W01_W02_C004_AND_LINKED_STICKY_NOTES_v1.0.md,30f0987997c360dd0c94ce1359185236c6392932a0c45c6680d3d75add5a5af6,2592,SUPPORTING_CONTROL_OR_EVIDENCE,CURRENT_CONTROLLER_ADJUDICATION,SCOPED_WHERE_DECISION_IS_CURRENT,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,DECISION_RESOLVED_NOT_PRODUCT_ACCEPTANCE,YES,ENFORCE_SCOPED_DECISION_AND_EXACT_CONTRACT,NONE_KNOWN,DO_NOT_PROMOTE_DECISION_RESOLUTION_TO_IMPLEMENTATION_OR_OWNER_ACCEPTANCE,CEP CONTROLLER ADJUDICATION — W01/W02 C004 + LINKED STICKY NOTES DESTINATION OWNERS — v1.0 | A. C004 R&Q Claim Identity | B. Linked Sticky Notes,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,CURRENT_GOVERNANCE_ONLY_NO_IMPLEMENTATION_PROMOTION,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_ADJUDICATION_W01_W02_PRE_COLAB_SOURCE_COMPLETION_v1.0.md,ab8c78bcdd78b2f9a22b0929a5289eb0694929b056c1912417368888bdd2b649,10856,RUNTIME_COLAB_METHOD_OR_EVIDENCE,CURRENT_CONTROLLER_ADJUDICATION,SCOPED_WHERE_DECISION_IS_CURRENT,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,DECISION_RESOLVED_NOT_PRODUCT_ACCEPTANCE,YES,ENFORCE_SCOPED_DECISION_AND_EXACT_CONTRACT,NONE_KNOWN,DO_NOT_PROMOTE_DECISION_RESOLUTION_TO_IMPLEMENTATION_OR_OWNER_ACCEPTANCE,CEP CONTROLLER ADJUDICATION — W01/W02 PRE-COLAB SOURCE COMPLETION v1.0 | 1. Purpose | 2. Decision A — canonical persistent inline range marks | 2.1 One canonical owner | 2.2 Contract version | 2.3 Block field | 2.4 Bounded validation | 2.5 Text mutation semantics | 2.6 UI/render/clipboard | 2.7 Legacy VS001/VS002 anti-loss boundary | 2.8 Digest/history/save | 3. Decision B — C024 bounded server-side scale contract,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,CURRENT_GOVERNANCE_ONLY_NO_IMPLEMENTATION_PROMOTION,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_ASSURANCE_AND_EVIDENCE_PROTOCOL_v1.0.md,45a4ca798ed562ee7b93c62518ec3506dfdb32f1ef148da39a200d309ad0f4b0,1752,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER ASSURANCE + EVIDENCE PROTOCOL v1.0 | 1. Evidence classes | 2. Independent review minimum | 3. Interaction oracle | 4. Browser fallback | 5. User hands-on review | 6. Completion wording,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_COLAB_RUNTIME_TEST_LESSONS_SUPPLEMENT_v1.0.json,828c5974a0818b523c5ca34910c05358ce29362e05e58f27c8f9e5529a799c28,10006,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"JSON keys: version, status, source_event, lessons",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_COLAB_RUNTIME_TEST_LESSONS_SUPPLEMENT_v1.1.json,783414f427413359812ffbfb2264cfdc0f68f5f8e515655c8e22b0d7326b38d2,1503,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"JSON keys: version, status, supersedes, source_event, new_lessons",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_CONTROL_CHANGELOG_v1.0.md,611ff2d6b276a24e2552bba8f905a79adc5a92a18bcc4a4141eb755905d49149,858,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER CONTROL CHANGELOG v1.0 | 2026-09-09 — Controller OS v1.0,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_CURRENT_RECOVERY_HANDOFF_v2.0.md,b5d333a559b3b5ee0f75f4efae788728545e3c019fec40cf6ed9d72e23da25b3,2184,SUPPORTING_CONTROL_OR_EVIDENCE,SUPPORTING_CONTROL_OR_EVIDENCE,NO,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,WHEN_MATERIAL_DETAIL_IS_USED,MINE_VALUE_WITH_DISPOSITION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER CURRENT RECOVERY HANDOFF v2.0 — 2026-09-09 | 1. Current control root | 2. W03 | 3. W01/W02 | 4. High-value lessons carried forward | 5. Do not claim,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
