finding,status,evidence,unresolved_limitation
old baseline Product not exact parent,CLOSED_PROVEN,Exact R6 ZIP bcccdf... verified and used as sole Product parent; old baseline product was support-only.,
tree digest not reproducibly bound,CLOSED_PROVEN,tools/normalized-tree.mjs + final PRODUCT_TREE_IDENTITY.json,CEP-NORMALIZED-TREE-V1 algorithm centrally documented and rerun independently.
Colab destructive local rerun,CLOSED_PROVEN,COLAB_CREATE_PRIVATE_GITHUB_REPO_R6BALANCED6.py self-test,Script refuses non-empty destination and contains no rmtree workflow.
Colab untrusted verifier bootstrap,CLOSED_PROVEN,COLAB_CREATE_PRIVATE_GITHUB_REPO_R6BALANCED6.py self-test,Trusted stdlib SHA and manifest verification precede extraction code execution.
Colab broad git add .,CLOSED_PROVEN,COLAB_CREATE_PRIVATE_GITHUB_REPO_R6BALANCED6.py source scan,Manifest-derived explicit git add allowlist; no git add .
UI parity failure,CLOSED_PROVEN,PRESENTATION_REVIEW.json,Reference/contract-grounded 23-surface review; truthful empty states preserved without fake data.
normal UI diagnostic leakage,CLOSED_PROVEN,targeted tests + presentation audit,Diagnostics are explicit-mode only.
incomplete 23-Surface proof,PARTIALLY_CLOSED,210 model tests + check + 46 PNG presentation evidence,Genuine route interaction/history proof remains OPEN_ENVIRONMENT.
incomplete decision evidence,CLOSED_PROVEN,OWNER_DECISION_DISPOSITION.csv,All live ACTIVE/ACTIVE_PLATFORM_GATED rows dispositioned.
environment-vs-Product localhost distinction,CLOSED_PROVEN,R6_CORR01_LOOPBACK_POLICY_EVIDENCE.txt,Chromium policy blocks local route before Product receipt; kept separate from Product defects.
