decision_id,authority,priority,scope,family,decision,supersedes,status,source,implementation_status,future_work_rule
OSD-001,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,OWNER_SOVEREIGNTY,"When current direct Owner intent conflicts with older surface contracts, reviewer packets, writer assumptions, or planning cautions, the current direct Owner intent controls normative design synthesis. Descriptive current-code facts remain factual and are not rewritten by preference.",conflicting legacy normative authority,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-002,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,FREEDOM,"For this single-owner personal platform, default to freedom of navigation, inspection, editing, customization, reordering, revisiting and experimentation unless a hard constraint passes the Restriction Legitimacy Test.",forced workflow defaults,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-003,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,LEARN+PORTFOLIO,FREEDOM,"Prerequisites, recommendations, progression, warnings and preferred workflows guide the Owner but do not arbitrarily block access.",hard progression locks,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-004,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,RESTRICTION,"A hard restriction is valid only when required by irreversible integrity, security/access control, external platform impossibility, legal/safety constraint, or a deliberately selected Owner policy. Otherwise downgrade it to guidance, warning, configurable policy or recoverable override.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-005,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,EDITABILITY,Any user-owned semantically editable object should have a professional edit route. Do not make ordinary editable content read-only merely because a prior surface was consumption-oriented.,consumption-only assumptions,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-006,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,EDITABILITY,"Integrity-sensitive records should preserve provenance/history via revision, supersession, annotation, restore-as-new, or explicit advanced override instead of paternalistic blanket denial.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-007,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P1,PORTFOLIO,EDITABILITY,"If an object/property can safely be edited in place, prefer direct edit plus alternative routes rather than forcing navigation to a separate settings/edit page.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-008,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,INHERITANCE,A mature donor mechanic is the default foundation for eligible surfaces. Deviation requires an explicit reason; do not rebuild a poorer parallel engine.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-009,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,INHERITANCE,"Accepted donors are not immutable templates. Weak interaction, accessibility, organization, performance or architecture may be improved while preserving useful value.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-010,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,INHERITANCE,New surfaces should add domain-specific capabilities above eligible shared foundations rather than replace mature shared mechanics with a thinner bespoke UI.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
