index,decision_id,priority,status,scope,family,decision,supersedes,source,applies_to,verification,notes
0,OWNER-20260910-001,P0,ACTIVE,PORTFOLIO,CUSTOMIZATION_GENERALIZATION,Customization is a general CEP principle. Safe presentation/workspace settings should be customizable where meaningful; not a language-only exception.,Fixed surface-local/default-only customization laws.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
1,OWNER-20260910-002,P0,ACTIVE,PORTFOLIO,SAFE_DEFAULT_NOT_PRODUCT_LAW,"Defaults are starting values, not immutable laws unless a safety/domain reason requires non-configurability.","Arabic-first, fixed RTL, fixed theme/layout formulations.",CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
4,OWNER-20260910-005,P0,ACTIVE,ALL_SURFACES,FOUNDATION_REUSE_FIRST,"Maximize executable reuse across all 23 surfaces using global foundation, family engines, and thin domain adapters.",Independent generic engines per surface.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
7,OWNER-20260910-008,P0,ACTIVE,FUTURE_WORK,AUTHORITY_INTAKE_HARDENING,Read canonical authority/supersession before raw candidates; historical framework paths/classes/routes are not new-foundation architecture authority.,Historical production paths treated as current target.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
9,OWNER-20260910-010,P0,ACTIVE,GLOBAL_SHELL,SHELL_DESIGN_REOPENED,"Current Shell/navigation visual composition is not accepted as strong/final. Mine useful interaction/context mechanics, but redesign global shell/navigation after shared workbench foundation is stable.",AppShell/W02Nav REUSE_AS_IS assumptions.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
10,OWNER-20260910-011,P0,ACTIVE,ALL_SURFACES,GLOBAL_LAYOUT_SLOT_CONSTITUTION,"Provide executable universal layout/slot templates. Shared pane/toolbar/context/action surfaces keep the same layout grammar, design language, placement grammar and interaction model; surfaces change domain content/actions only.",Surface-local layout invention.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
11,OWNER-20260910-012,P0,ACTIVE,WORKSPACE_PANES,PANE_SYSTEM_UNIFICATION,"LEFT/RIGHT side panes, TOP region and BOTTOM shelf use shared pane/region mechanics. Internal pane close/collapse controls are distinct from external edge reveal/toggle controls. Resize/responsive/preferred-vs-effective behavior is shared.",Independent pane mechanics and ambiguous reopen controls.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,"Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins. Owner QA 2026-09-17 observed Runs Structure-pane presentation/resize-collapse divergence from Library/shared pane behavior. This is an active parity defect for the new deep-audit wave, not permission for a Runs-local pane fork."
12,OWNER-20260910-013,P0,ACTIVE,TOOLBARS,TOOLBAR_TEMPLATE_UNIFICATION,"Use one toolbar template/grammar with stable universal action slots, common behavior/location and customizable composition. Domain actions bind into slots instead of redefining toolbar layout.",Different toolbar grammar/placement per surface.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
13,OWNER-20260910-014,P0,ACTIVE,ACTIONS_TRANSIENTS,ACTION_SURFACE_REUSE,"Command Palette, Context Action Menu, Selection Action Surface and similar reusable action containers use common executable templates; only command groups/capability bindings change.",Independent menus/palettes per surface.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
14,OWNER-20260910-015,P0,ACTIVE,INTERACTION,MULTI_ROUTE_REVERSIBILITY,"Keyboard is one route, not the only route. Reversible/transient UI requires multiple appropriate reverse/dismiss routes; persistent panes must not disappear merely from focus loss.",Escape-only or keyboard-only exit behavior.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
