finding_id,severity,surface_scope,family,requirement_class,current_failure,controlling_basis,required_correction,acceptance_gate,status,baseline,baseline_sha256,writer_disposition,evidence_ids,evidence_files,remaining_gate
W03-ODR-001,P0,ALL FIVE,THEME_OWNER_DEEP_NEUTRAL,PRE_EXISTING_REQUIREMENT_PARTIAL,Deep Neutral / Notion Dark is not one shared application-wide theme owner; some surfaces remain blue or use duplicate theme states.,Accepted Library notion-dark global palette; Big Boss GlobalPreferenceDomain theme; accepted-donor inheritance law.,"One shared theme owner. User-facing Deep Neutral maps to accepted donor notion-dark/deep-neutral palette and recolors shell, panes, Context, menus, toolbars, operational surfaces and notes on Enterprise/Scenarios/Labs/Runs/Results. No parallel local theme engines.",For each of 5 surfaces: switch Reference/Dark Blue → Deep Neutral → Light/System where offered; assert root computed palette and representative shell/pane/context/transient/notes tokens change; reload/persistence; no surface remains blue under Deep Neutral.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-THEME | IM-SCE-THEME | IM-LAB-THEME | IM-RUN-THEME | IM-RES-THEME,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-002,P0,ALL FIVE,WORKSPACE_VIEW_MODE_BINDING,PRE_EXISTING_REQUIREMENT_OMITTED,"Controls that visually present as workspace/view modes can change selection state without a material CENTER transition, leaving stale content.",Big Boss surface contracts + Visualize cross-view editability + Context ownership doctrine.,Hard semantic split: Workspace/View mode controls MUST visibly transition CENTER; Inspector/Context lenses MUST visibly transition RIGHT Context and focus/selection. No inert tab and no stale previous-view content.,Enumerate all top/structure/view controls on all 5 surfaces; click each; assert state owner changes and the correct target region changes materially; assert previous region content is not stale; keyboard parity.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,ODR-VIEW-ENTERPRISE | ODR-VIEW-SCENARIOS | ODR-VIEW-LABS | ODR-VIEW-RUNS | ODR-VIEW-RESULTS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json | 27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27C_ALL_FIVE_EXTRA_PARITY_BROWSER_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-003,P0,Runs,RUNS_STRUCTURE_CONTEXT_STALE_CENTER,PRE_EXISTING_REQUIREMENT_PARTIAL,"Runs Structure navigation (e.g. devices/scenario/tasks/telemetry/overview families) primarily changes RIGHT Context while CENTER remains the same, producing inert-navigation behavior.",Owner manual review + Controller reproduction; W03 view/context semantics.,Classify every Runs Structure item as CENTER workspace mode or RIGHT Context lens. Label it accordingly. Workspace-like items must transition CENTER; context-only items must be presented as lenses/inspectors rather than misleading navigation.,Browser interaction matrix for every Runs Structure item at 1440/~1024/narrow; capture before/after CENTER+RIGHT signatures; no visually selected navigation with unchanged intended target region.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-RUN-STRUCT | IM-RUN-MODES,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-004,P1,Enterprise,ENTERPRISE_MODE_SEMANTICS,PRE_EXISTING_REQUIREMENT_PARTIAL,Enterprise Model/Topology/State/Behavior/Validation presentation is ambiguous and some modes behave as small dialog/context rather than a true workspace mode.,W03 surface contract + Owner manual review + professional Context grammar.,Adjudicate each control: true workspace mode → CENTER view; inspector/lens → RIGHT Context or explicit transient. Labels and hierarchy must match semantics.,Browser tests each Enterprise mode + keyboard route; visual evidence at desktop/compact/narrow; no mode masquerading as workspace tab while only opening an unrelated small transient.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-MODES,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-005,P1,Labs,LABS_VIEW_AND_STRUCTURE_PARITY,PRE_EXISTING_REQUIREMENT_PARTIAL,Labs repeats structure/view transition ambiguity and does not demonstrate full parity with the shared interaction grammar.,Visualize editability parity + accepted Library inheritance + all-five shared mechanics law.,"Labs must use the same view-vs-context transition law and shared state/presentation owners, adapted only for Lab domain semantics.",Enumerate Labs structure/view controls; state transition and region-change assertions; keyboard parity; compare with Enterprise/Scenarios/Runs shared mechanics.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-LAB-STRUCT,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-006,P0,Enterprise/Labs/Scenarios + eligible spatial surfaces,INTERACTIVE_MULTI_CONNECT_COMPOSER,PRE_EXISTING_REQUIREMENT_OMITTED,Multi-selection may expose Connect but does not provide a complete professional source/target relation-authoring workflow.,Shared Spatial Addendum multi-selection Connect; OWNER-VIS-EDIT-004/007; W03-R030; accepted Library action-surface donor.,"Select 2+ eligible objects → Connect → relation composer/context surface showing source/target, relation type, direction, expected version/revision or other domain-required pins, validation, authority/capability truth, Cancel/Apply. One semantic command owner; no direct edge=canonical mutation collapse.","Select 2+ objects pointer and keyboard; invoke Connect from selection toolbar, RMB Context and palette/other admitted routes; same command payload/owner; invalid combination rejected; successful Blueprint-local draft visibly represented.",WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-REL | IM-SCN-REL | IM-LAB-REL,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-007,P0,Enterprise/Labs/Scenarios + eligible spatial surfaces,INTERACTIVE_RELATION_EDIT,PRE_EXISTING_REQUIREMENT_OMITTED,Existing relation/edge editing is not an easy professional direct workflow.,OWNER-VIS-EDIT-004 + ContextActionResolver Relations group + anti-collapse law.,Selecting/right-clicking eligible edge/relation exposes Edit Relationship using same composer pre-populated with current semantics; change type/direction/version pins where domain permits; explicit validation and cancel/apply.,Edge selection pointer + keyboard; Edit Relationship from context and inspector; prepopulation exact; cancel no mutation; apply updates Blueprint-local model; undo/redo where admitted.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-REL | IM-SCN-REL | IM-LAB-REL,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-008,P1,Labs/Scenarios/Enterprise where domain-valid,INTERACTIVE_BRANCH_CREATION,PRE_EXISTING_REQUIREMENT_OMITTED,Branch/add-branch workflow is absent or not directly interactive in relevant editing surfaces.,Tree/Path/Graph full editability; contextual action architecture; domain semantics remain adapter-owned.,Add Branch appears contextually where branch semantics exist; opens bounded composer for branch target/type/order/conditions/version pins as relevant; keyboard route; no generic branch where domain says N/A.,"Invoke Add Branch from eligible selected object via Context and keyboard; verify semantic fields, validation, cancel/apply, state synchronization across alternate views.",WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-REL | IM-SCN-REL | IM-LAB-REL,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-009,P0,ALL CEP SURFACES / immediate W03 five,GUIDANCE_LEGEND_CONTROLLABILITY,PRE_EXISTING_REQUIREMENT_OMITTED,Relationship legends/guides/stickers remain fixed/unmovable/unclosable or lack reliable reopen/persistence controls.,OWNER-GLOBAL-GUIDANCE-001; applies ALL workspaces/surfaces.,"Every optional Legend/Guide/Sticker/Hint classified under one guidance owner: hide/show, close/reopen, move/reposition or dock/anchor, preferred-state persistence/reset, keyboard access, focus return, viewport clamp. Mandatory truth remains separate.","Inventory all optional guidance elements in each W03 surface; test close→reopen, hide→reload→preferred state, pointer move/dock, keyboard route, narrow effective transform then wide preferred restoration.",WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-GUIDE | IM-SCE-GUIDE | IM-LAB-GUIDE | IM-RUN-GUIDE | IM-RES-GUIDE,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
W03-ODR-010,P1,ALL FIVE,PINNED_CONTEXT_TRANSIENT_LIFECYCLE,PRE_EXISTING_REQUIREMENT_PARTIAL,Pinned Context/targets/transients do not consistently close/unpin/reopen or restore focus.,Accepted Library ContextInspector/ContextLensHost/pinned Context; transient lifecycle law.,Pinned/unpinned is explicit; Close and Unpin meanings do not collapse; reopen route exists; outside click/Escape behavior deterministic by state; focus returns to initiating target; viewport collision safe.,Pin context → switch target → close/unpin → reopen; Escape precedence; outside click; keyboard Shift+F10; focus assertions; narrow overlay transform.,WRITER_CORRECTED_FRESH_EVIDENCE,CEP_W03_UNIFIED_EXECUTABLE_BLUEPRINT_SYSTEM_v3.3.1_CONTROLLER_BOUNDED_CORRECTION_CANDIDATE.zip,269401aa20a982be8e8e399959be37c5fbdd21de1a0b137fba4044deb8d90cc5,WRITER_CORRECTED_FRESH_EVIDENCE,IM-ENT-CTX | IM-SCE-CTX | IM-LAB-CTX | IM-RUN-CTX | IM-RES-CTX,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json,INDEPENDENT_CONTROLLER_INTERACTION_REVIEW + OWNER_CONTROLLER_DESIGN_ADJUDICATION
