section_id,section_number,title,atom_count,historical_reconciliation_disposition,owner_groups,historical_work_admissions,historical_admitted_task_ids,exact_pointer,notes
W03-PROP-00,0,CORE PRODUCT THESIS,2,PARTIALLY_RECONCILED,WriterGovernance / W03 Product-Thesis Guard,DEFER_HIGH_VALUE; DO_NOW_P0,FND-RSM-P0-003,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-00,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,13,DEFERRED_TO_NAMED_FUTURE_OWNER,ActionAvailabilityCore + RuntimeAdapter capability contract; CrossSurfaceContinuityContract + WorkspaceFoundation; EnterpriseTopologyDomainAdapter; Evidence/Result/Review contract; OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel; ReplayContextManager contract + Spatial/domain historical projection; ReplayContextManager contract + recorded RuntimeAdapter projection; RuntimeAdapter + domain causal command adapters; RuntimeAdapter event/telemetry projection contract; RuntimeAdapter state projection + EnterpriseTopologyDomainAdapter; ScenarioDomainAdapter + RunDomainAdapter progression projection,DEFER_HIGH_VALUE; DEFER_TO_FAMILY_BUILD; DEFER_TO_SURFACE_BUILD; DEFER_TO_W03_SURFACE_BUILD,,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-01,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-02,2,"BUILD MODE != RUN MODE, BUT THEY SHOULD FEEL CONTINUOUS",4,PARTIALLY_RECONCILED,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel; StateOwnershipRegistry + RunModeController/RuntimeAdapter frozen-projection boundary; W03 authoring domain adapters + SemanticCommand boundary,DEFER_HIGH_VALUE; DO_NOW_P1,FND-RSM-P1-004,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-02,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-03,3,W03 IS NOT THE VISUALIZE ENGINE,4,PARTIALLY_RECONCILED,RelationInteraction + RelationDomainAdapter + RelationComposer; SemanticSpatialNavigator + PointerContextLifecycle; SpatialModel representation state + W03 domain-adapter canonical truth boundary; W03 domain adapters / canonical semantic owners,DEFER_TO_W03_SURFACE_BUILD; DO_NOW_P1; PRESENT_NEEDS_BETTER_TEST,FND-RSM-P1-004; FND-RSM-P1-007; FND-RSM-P1-009,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-03,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-04,4,GLOBAL W03 WORKBENCH STRUCTURE,3,RECONCILED_CURRENT,PaneLayoutController + WorkspaceFoundation + future LayoutProfileManager; WorkspaceFoundation + PaneLayoutController + ContextInspector,DO_NOW_P0; DO_NOW_P1,FND-RSM-P0-003; FND-RSM-P1-005,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-04,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-05,5,OPERATIONAL SURFACE MANAGER — CRITICAL,3,PARTIALLY_RECONCILED,OperationalSurfaceAttachmentController interface / OperationalSessionModel; OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,DEFER_HIGH_VALUE; DEFER_TO_FAMILY_BUILD; DO_NOW_P0,FND-RSM-P0-003,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-05,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-06,6,TWO DIFFERENT KINDS OF PINNING,2,RECONCILED_CURRENT,OperationalSurfaceAttachmentController interface / OperationalSessionModel,PRESENT_NEEDS_BETTER_TEST,,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-06,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-07,7,"STICKY-NOTE FREEDOM, BUT PROFESSIONAL SESSION SEMANTICS",3,RECONCILED_CURRENT,OperationalSurfaceAttachmentController interface + SessionPresentation; OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,DO_NOW_P0; DO_NOW_P1,FND-RSM-P0-003; FND-RSM-P1-007,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-07,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-08,8,DEVICE INTERACTION GRAMMAR,3,PARTIALLY_RECONCILED,ActionAvailabilityCore + RuntimeAdapter capability predicate; ActionSurfaceRegistry + SemanticCommandRegistry + domain capability adapters; SemanticCommandRegistry + ActionSurfaceRegistry + domain capability adapters,DEFER_HIGH_VALUE; DO_NOW_P1,FND-RSM-P1-005,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-08,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
W03-PROP-09,9,DOUBLE-CLICK BEHAVIOR,2,DEFERRED_TO_NAMED_FUTURE_OWNER,ActionSurfaceRegistry + ActionAvailabilityCore + domain capability predicate; ActionSurfaceRegistry + ScopedPreferences + domain capability predicate,DEFER_HIGH_VALUE; DEFER_TO_W03_SURFACE_BUILD,,authority/controller/07_W03_69_REQUIREMENT_REUSE_MAP.csv#W03-PROP-09,"Historical reconciliation only; WORK_ADMISSION is provenance, not current backlog. Current active deferred truth: assurance/HIGH_VALUE_DEFERRED_LEDGER.json."
