ABSTRACTION_ID,ABSTRACTION,ADMISSION,TARGET_OWNERSHIP_LAYER,PROBLEM_WHY_EXISTING_INSUFFICIENT,EXPECTED_CONSUMERS,STATE_OWNER,COMMAND_OWNER,ADAPTER_BOUNDARY,REUSE_VALUE,IMPLEMENTATION_COST,REQUIRED_TEST,TASK_ID
ABS-C-001,StructuredFamilyEngine / StructuredSurfaceHost,YES_NOW,STRUCTURED_FAMILY,Multiple structured consumers currently inherit Library runtime.,Library; Learn; future structured,Structured working document state,Structured commands via global registry,StructuredDocumentDomainAdapter,VERY_HIGH,MEDIUM_HIGH,Synthetic non-Library edit/save/history + Library parity,FND-RSM-P0-003
ABS-C-002,StructuredDocumentDomainAdapter,YES_NOW,DOMAIN_ADAPTER,Missing executable separation between reusable document mechanics and domain metadata/persistence.,Library; Learn; future structured,Domain identity/metadata/persistence mapping,Availability/capability contribution,Contract boundary itself,VERY_HIGH,MEDIUM,Adapter contract tests,FND-RSM-P0-003
ABS-C-003,ActionAvailabilityResolver,YES_NOW,SPATIAL_FAMILY with global contract,Availability is split and can drift between UI/preflight.,Visualize; W03 spatial; future spatial,Derived only; no canonical store,Global SemanticCommands,RelationDomainAdapter/capability descriptors,VERY_HIGH,LOW_MEDIUM,Availability matrix and route convergence,FND-RSM-P1-004
ABS-C-004,PaneLayoutController,YES_NOW_AS_HOST_SUBOWNER,GLOBAL_FOUNDATION,Pane mechanics are reusable but donor-bound.,All workspace families,Global layout/preferred/effective state,Global pane commands,Region content adapters,HIGH,MEDIUM,Pane lifecycle/responsive projection,FND-RSM-P1-005
ABS-C-005,ContextDescriptorProvider,YES_NOW,DOMAIN_ADAPTER / FAMILY boundary,Inspector presentation and Library-specific fields are interleaved.,All context-aware consumers,Descriptor source remains domain/family,Global context actions where applicable,Descriptor provider,HIGH,LOW,Two providers same inspector presentation,FND-RSM-P1-005
ABS-C-006,RuntimeProviderDescriptor,YES_NOW,OPERATIONAL_FAMILY adapter contract,Shared Operational UI leaks InternalSimulation identity/capabilities.,Operational consumers,RuntimeAdapter/provider metadata,Operational commands through global registry,RuntimeAdapter,HIGH,LOW,Provider metadata fixture,FND-RSM-P1-006
ABS-C-007,SemanticSpatialNavigator,YES_NOW,SPATIAL_FAMILY,Focus/selection/camera/object keyboard semantics are not sufficiently canonical.,All spatial consumers,Spatial focus state,Spatial semantic commands,Domain focusability descriptors,HIGH,MEDIUM,Keyboard semantics regression,FND-RSM-P1-007
ABS-C-008,MechanicOwnershipConformanceGuard,YES_NOW_LAST,WRITER_GOVERNANCE,Registry data exists but duplicate shared implementations can still be introduced.,All future Writers,Metadata only,Metadata only,Reads owner/adapters/profile registries,VERY_HIGH,LOW_MEDIUM,Duplicate fixtures,FND-RSM-P1-010
ABS-C-009,FoundationContractVersion metadata,YES_NOW_LAST,WRITER_GOVERNANCE,Durable contracts need explicit compatible/breaking evolution semantics.,All contract consumers,Metadata only,Metadata only,Per-contract consumer map,HIGH,LOW,Compatible/breaking fixture,FND-RSM-P1-010
ABS-C-010,FoundationWriterScaffoldGenerator,YES_NOW_LAST,WRITER_GOVERNANCE,Future Writers should consume corrected Foundation instead of rediscovering architecture.,All future surface Writers,Metadata output only,Metadata output only,SurfaceProfile + owner registries,VERY_HIGH,MEDIUM,Deterministic 3-family scaffold smoke,FND-RSM-P1-010
ABS-C-011,Global NotesCore,DEFER_HIGH_VALUE,GLOBAL/DOMAIN_SHARED,Cross-family state/presentation commonality is not sufficiently proven; only Structured seam is needed now.,Potential structured/spatial notes,TBD after consumer proof,TBD,NotesBindingAdapter candidate,MEDIUM_HIGH,MEDIUM,Future cross-family proof,
ABS-C-012,OperationalSurfaceAttachmentController,DEFER_TO_FAMILY_BUILD,OPERATIONAL_FAMILY,Dock/float/device/viewport attachment is valuable but not needed to close provider neutrality.,Operational/W03,Operational attachment state,Operational commands,Surface/device attachment adapter,HIGH,MEDIUM_HIGH,Future dock/float/restore tests,
ABS-C-013,SessionShelf,DEFER_TO_FAMILY_BUILD,OPERATIONAL_FAMILY,Presentation abstraction not required for current session identity correctness.,Operational surfaces,OperationalSessionModel remains owner,Session commands,None/TBD,MEDIUM,MEDIUM,Future presentation tests,
ABS-C-014,LayoutProfileManager,DEFER_HIGH_VALUE,GLOBAL_FOUNDATION,Profiles useful but current preferred/effective state can be hardened without full manager.,All surfaces,Preference/layout profile state,Layout commands,Surface profile mapping,HIGH,MEDIUM,Future profile inheritance tests,
ABS-C-015,StateOwnershipBoundary runtime service,REJECT,NONE,Would create a second runtime source of truth instead of documenting real canonical owners.,None,None,None,Registry metadata only,NEGATIVE,HIGH_RISK,Duplicate state-source guard,
