item_path,line,level,title
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/DELIVERY_SUMMARY_AR.md,1,1,تحديث v1.2 المحدود
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/DELIVERY_SUMMARY_AR.md,6,1,تسليم الخلف المرشح v1.1
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,1,1,00 — ASTRA Big Boss Successor Control
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,3,2,Mission
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,8,3,Preserve from v1.0 where still valid
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,19,3,Correct materially
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,33,2,Non-negotiable status law
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,37,2,Reader-set law
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,41,2,Architecture law
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,44,2,Owner law
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,50,1,01 — Shared Foundation Decisions
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,52,2,Required shared
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,55,2,Proven shared
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,58,2,Surface-family shared
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,61,2,Candidate shared — counterexample required
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,64,2,False abstractions to reject
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,67,2,Command rule
