donor_component,target_foundation_module_candidate,foundation_family,reuse_posture,authority,boundary_or_required_improvement
AppShell,shell/AppShell,GLOBAL_SHELL_TEMPLATE,REUSE_STRUCTURE_AND_INTERACTION_GRAMMAR,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Do not freeze old visual/nav design if newer Owner correction reopens it.
BlockContextMenu,actions/ContextMenu,CONTEXT_ACTION_SURFACE,REUSE_WITH_DOMAIN_ACTION_ADAPTER,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,RMB/Shift+F10 parity; no duplicate side effects.
BottomShelf,workspace/BottomDeepWork,BOTTOM_DEEP_WORK,REUSE_AS_EXECUTABLE_SEED,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Closed by default; temporary deep work.
CommandPalette,commands/CommandPalette,COMMAND_DISCOVERY,REUSE_WITH_CURRENT_DISMISSAL_SUPERSESSION,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Many entry/exit routes; one semantic command registry.
ContextInspector,context/ContextInspector,CONTEXT_ENGINE,REUSE_AS_EXECUTABLE_SEED,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,RIGHT unique context owner; domain lenses via adapters.
ContextLensHost,context/ContextLensHost,CONTEXT_LENS_HOST,REUSE_AS_EXECUTABLE_SEED,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"Lens changes RIGHT, not CENTER."
EditorToolbar,structured/EditorToolbar,EDITOR_ACTION_SURFACE,REUSE_AND_MAKE_ELIGIBLE_COMPOSITION_CUSTOMIZABLE,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Placement/order/visibility preference; same commands.
FixtureStateLab,testing/FixtureStateLab,TEST_HARNESS,REUSE_AS_TEST_ONLY,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Never ship internal fixture/governance diagnostics as normal product chrome.
GroupedSectionSystem,disclosure/GroupedSections,DISCLOSURE_ENGINE,REUSE_IF_COMPATIBLE,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Do not force one disclosure pattern on all domains.
InsertionPalette,structured/InsertionPalette,STRUCTURED_INSERTION,REUSE_FOR_STRUCTURED_CONTENT,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"Exact anchor, keyboard/pointer parity."
KnowledgeDocumentSurface,structured/DocumentSurface,DOCUMENT_SURFACE,ADAPT_DOMAIN_DOCUMENT,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Knowledge domain semantics not universal.
PaneController,workspace/PaneController,PANE_ENGINE,REUSE_AS_EXECUTABLE_SEED,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Preferred/effective state separated; resizable/collapse/reopen/focus/responsive.
SelectionToolbar,actions/SelectionToolbar,SELECTION_ACTION_SURFACE,REUSE_WHERE_SELECTION_EXISTS,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Same semantic commands as menus/palette/toolbar.
StructurePane,navigation/StructurePane,STRUCTURE_REGION,ADAPT_DOMAIN_TREE,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,LEFT owns structure/navigation only.
