file,js_bytes,ts_bytes,js_lines,ts_lines,emitted_bytes,role
adapters/learn.js,769,769,6,6,769,domain fixture adapter
adapters/library-fixtures.js,7812,7812,76,76,7812,domain fixture adapter
adapters/simulation.js,2771,2771,19,19,2771,domain fixture adapter
foundation/accepted-runtime.js,317402,317402,682,682,317402,accepted donor retained
foundation/models.js,10138,10279,64,67,10279,shared foundation or test
foundation/operational.js,6289,6289,16,16,6289,shared foundation or test
foundation/spatial.js,8212,8212,27,27,8212,shared foundation or test
foundation/window-motion.js,1437,1437,10,10,1437,shared foundation or test
foundation/workspace.js,11086,11086,41,41,11086,shared foundation or test
main.js,21225,21225,107,107,21225,composition glue
model-tests.js,8853,8853,34,34,8853,shared foundation or test
