ITEM_ID,ITEM,CLASSIFICATION,WHY_EXCLUDED,TRACEABILITY_ONLY_RULE
DROP-001,DEFERRED_WORK_ZERO_LOSS as active backlog law,SUPERSEDED,Latest direct Owner requires value filtering.,Keep only historical traceability; never regenerate active status.
DROP-002,GitHub branch/SHA as prerequisite to current Foundation Writer intake,HISTORICAL_ONLY,Old Production/GitHub is excluded from current Foundation authority.,Exact historical lookup only if a later Owner request specifically requires it.
DROP-003,Old Production architecture as target Foundation architecture,SUPERSEDED,Current architecture is Global Foundation → Family → Domain Adapter → Surface.,No active obligation.
DROP-004,Historical stack authority: Laravel/PostgreSQL/Inertia/Tailwind/Vue production composition,SUPERSEDED,STACK_NOT_FROZEN and historical stack has no current authority.,No active obligation.
DROP-005,W03 v3.4 as implementation/UI/layout/interaction/design authority,SUPERSEDED,W03 is requirement/domain/evidence donor only.,Preserve only independently dispositioned value.
DROP-006,Rewrite/extract all 330 donor functions,DROP_LOW_VALUE,"Census is provenance/extraction evidence, not rewrite scope.",Keep donor intact; extract material reusable clusters only.
DROP-007,Implement all 69 W03 sections / 318 atoms as features,DROP_LOW_VALUE,Atomic traceability is not task decomposition.,Group into reusable mechanics/domain value.
DROP-008,Build all 23 surfaces during Foundation correction,DROP_LOW_VALUE,Would swamp high-leverage reusable correction.,Surface builds remain future Writer work.
DROP-009,Final Shell redesign / broad visual polish now,DROP_LOW_VALUE,Not required to close reusable ownership.,Targeted visual evidence only.
DROP-010,Large screenshot inventory,DROP_LOW_VALUE,Screenshots do not prove causal/state correctness.,Maximum small targeted set.
DROP-011,Broad framework/stack tournament,DROP_LOW_VALUE,Stack remains open and current evidence does not require selection.,Only bounded future technology recommendation if measured complexity removal dominates.
DROP-012,Multi-tenancy/org/team/login/RBAC/account switching defaults,SUPERSEDED,CEP is personal/local/single-owner.,Do not introduce absent explicit future Owner decision.
DROP-013,StateOwnershipBoundary as mutable runtime service,DROP_DUPLICATE,Would become second source of truth.,Use machine-readable ownership metadata only.
DROP-014,One global mutable HistoryRecoveryCore for all families,DROP_DUPLICATE,History/recovery semantics belong to canonical family/domain state owners.,Global conventions only.
DROP-015,Automatic PTY/PowerShell/WSL/Docker/VM/SSH for internal simulation,DROP_LOW_VALUE,InternalSimulationAdapter does not require external shell/runtime providers.,Only add on explicit future provider need.
