component_id,semantic_core,implementation,slots,status,duplicate_policy
WorkspaceFrame,SC-002,dist/foundation/workspace-host.js + dist/foundation/workspace.js,"['TOP', 'TOOLBAR', 'LEFT', 'CENTER', 'RIGHT', 'BOTTOM', 'TRANSIENT']",EXECUTABLE_DONOR_FREE_HOST_WITH_LIBRARY_COMPATIBILITY_DEVIATION,Consume this owner; no surface-local equivalent
SidePaneShell,SC-003,dist/foundation/workspace-host.js,"['LEFT', 'RIGHT']",EXECUTABLE_PREFERRED_EFFECTIVE_PANE_OWNER,Consume this owner; no surface-local equivalent
WorkspaceToolbar,SC-017,dist/foundation/workspace.js,['TOOLBAR'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
CommandPalette,SC-016,dist/foundation/workspace-host.js + dist/foundation/accepted-runtime.js (Library compatibility only),['TRANSIENT'],EXECUTABLE_SHARED_CONTRACT_WITH_LIBRARY_COMPATIBILITY_DEVIATION,Consume this owner; no surface-local equivalent
ContextActionMenu,SC-017,dist/foundation/workspace.js,['TRANSIENT'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
SelectionActionSurface,SC-027,dist/foundation/spatial/relation-interaction.js + dist/foundation/models.js,['TRANSIENT'],EXECUTABLE_CENTRAL_AVAILABILITY_PRESENTATION,Consume this owner; no surface-local equivalent
InsertionPalette,SC-030,dist/foundation/accepted-runtime.js (Library compatibility only),['TRANSIENT'],EXECUTABLE_LIBRARY_COMPATIBILITY_ONLY_NOT_GLOBAL_OWNER,Consume this owner; no surface-local equivalent
ContextInspector,SC-004,dist/foundation/global/context-inspector.js + dist/adapters/context-library-structured.js + dist/adapters/context-spatial.js,"['RIGHT', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER,ContextInspectorHost is the only reusable inspector lifecycle/presentation owner; descriptor payload truth remains provider/domain-owned
LensHost,SC-004,dist/foundation/accepted-runtime.js (Library compatibility only),['RIGHT'],EXECUTABLE_LIBRARY_COMPATIBILITY_ONLY_NOT_GLOBAL_OWNER,Consume this owner; no surface-local equivalent
BottomShelf,SC-005,dist/foundation/global/bottom-shelf.js + dist/adapters/structured-bottom-provider.js + dist/adapters/operational-bottom-provider.js,['BOTTOM'],CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER,BottomDeepWorkOwner owns open/close/inert/focus/provider lifecycle; provider content remains family/domain-owned
