test_id,surface,mechanic,precondition,action,expected_transition,negative_assertion,required_evidence,status
IM-ENT-THEME,Enterprise,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,OPEN
IM-ENT-GUIDE,Enterprise,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,OPEN
IM-ENT-CTX,Enterprise,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,OPEN
IM-ENT-NOTE,Enterprise,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,OPEN
IM-SCE-THEME,Scenarios,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,OPEN
IM-SCE-GUIDE,Scenarios,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,OPEN
IM-SCE-CTX,Scenarios,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,OPEN
IM-SCE-NOTE,Scenarios,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,OPEN
IM-LAB-THEME,Labs,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,OPEN
IM-LAB-GUIDE,Labs,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,OPEN
IM-LAB-CTX,Labs,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,OPEN
IM-LAB-NOTE,Labs,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,OPEN
IM-RUN-THEME,Runs,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,OPEN
IM-RUN-GUIDE,Runs,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,OPEN
IM-RUN-CTX,Runs,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,OPEN
IM-RUN-NOTE,Runs,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,OPEN
IM-RES-THEME,Results,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,OPEN
IM-RES-GUIDE,Results,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,OPEN
IM-RES-CTX,Results,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,OPEN
