atom_id,ontology_id,kind,owner,requirement,source_ref,disposition,physical_authority,implementation
ATOM-CAP-SHARED-001,CAP-SHARED-001,SHARED_MECHANISM,GlobalShellDomain,GlobalShellCore,SC-001,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-002,CAP-SHARED-002,SHARED_MECHANISM,WorkspaceShellCore,WorkspaceRegionCore,SC-002,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-003,CAP-SHARED-003,SHARED_MECHANISM,WorkspacePresentationCore,PaneResponsiveCore,SC-003,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-004,CAP-SHARED-004,SHARED_MECHANISM,WorkspacePresentationCore,ContextInspectorCore,SC-004,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-005,CAP-SHARED-005,SHARED_MECHANISM,WorkspacePresentationCore,BottomDeepWorkCore,SC-005,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-006,CAP-SHARED-006,SHARED_MECHANISM,WorkspacePresentationCore,PresentationStateCore,SC-006,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-007,CAP-SHARED-007,SHARED_MECHANISM,GlobalPreferenceDomain,GlobalPreferenceCore,SC-007,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-008,CAP-SHARED-008,SHARED_MECHANISM,GlobalPreferenceDomain,PreferenceScopeResolver,SC-008,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-009,CAP-SHARED-009,SHARED_MECHANISM,GlobalPreferenceDomain,GlobalSettingsIA,SC-009,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-010,CAP-SHARED-010,SHARED_MECHANISM,GlobalPreferenceDomain,PreferencePersistenceCore,SC-010,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-011,CAP-SHARED-011,SHARED_MECHANISM,GlobalPreferenceDomain,PreferenceExportImportResetModel,SC-011,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-012,CAP-SHARED-012,SHARED_MECHANISM,GlobalPreferenceDomain,LocaleLanguagePresentationCore,SC-012,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-013,CAP-SHARED-013,SHARED_MECHANISM,GlobalPreferenceDomain,DirectionAlignmentResolutionCore,SC-013,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-014,CAP-SHARED-014,SHARED_MECHANISM,GlobalPreferenceDomain,TypographyAndScriptProfileCore,SC-014,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-015,CAP-SHARED-015,SHARED_MECHANISM,AccessibilityPresentationCore,TechnicalTokenBidiIsolationCore,SC-015,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-016,CAP-SHARED-016,SHARED_MECHANISM,InteractionCore,SemanticCommandCore,SC-016,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-017,CAP-SHARED-017,SHARED_MECHANISM,InteractionCore,ActionSurfaceCore,SC-017,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-018,CAP-SHARED-018,SHARED_MECHANISM,InteractionCore,ActionAvailabilityCore,SC-018,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-019,CAP-SHARED-019,SHARED_MECHANISM,AccessibilityInteractionCore,TransientFocusCore,SC-019,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-020,CAP-SHARED-020,SHARED_MECHANISM,InteractionCore,InputKeymapCore,SC-020,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-021,CAP-SHARED-021,SHARED_MECHANISM,AccessibilityInteractionCore,AccessibilityInteractionCore,SC-021,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-022,CAP-SHARED-022,SHARED_MECHANISM,InteractionCore,StatusFeedbackCore,SC-022,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-023,CAP-SHARED-023,SHARED_MECHANISM,StateTruthCore,EpistemicStateCore,SC-023,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
ATOM-CAP-SHARED-024,CAP-SHARED-024,SHARED_MECHANISM,InteractionCore,SearchFilterDiscoveryCore,SC-024,ADMITTED_CONCEPT_SUBJECT_TO_OWNER_SUPERSESSION,NONE,Explicit 23-profile and runtime binding; atom-level behavioral proof OPEN
