gate,criterion,acceptance,priority
G0,Donor identity exact,672893 bytes + expected SHA,P0
G1,Current authority converged,All current Owner/global/controller rules dispositioned; conflicts explicit,P0
G2,Donor function coverage,330/330 named functions dispositioned,P0
G2,Donor component coverage,19/19 explicit component families + major CSS/DOM/event families dispositioned,P0
G3,23-surface matrix,23/23 surfaces have profile; omission is not N/A,P0
G3,No fixed Arabic-first law,Language/direction/theme/layout modeled as scoped customizable preferences,P0
G4,Golden harness executable,Shared components/states run and are inspectable,P0
G4,Multi-route dismissal,Palette/context/transient/pane reversal laws demonstrated,P0
G5,Library proof,Reference-compatible shared mechanics demonstrated,P0
G5,Learn proof,Maximum Library/editor inheritance; no parallel generic engine,P0
G5,Spatial proof,Shared spatial input owner + required interactions,P0
G5,W03 simulation proof,InternalSimulationAdapter state consequence; no fake shell/PTY assumption,P0
G6,Stack comparison measured,A/B/C + specialized libs evaluated on same proof,P1
G7,Writer discretion reduced,Shared templates/contracts prevent per-surface redesign,P0
