function,source_line,source_sha256,source_line_sha256,categories,disposition,target,target_line,symbol_present,change_reason,parity_evidence,remaining_work
announce,1116,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,847435e16c2126d8205b14aed4a5ab858a9c7f89ba3ec65a1719ce1441d727cb,"[""FOCUS_ACCESSIBILITY""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,13,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
toast,1117,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,20aebbd21bc639c487a1dd7958799b03076519e7ed1ea9525faa018174557fa4,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,14,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
logCommand,1118,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,d82e6c94759823a513c0a7c9739370c15706fe3768e2bdb830d39a10b1b36214,"[""COMMAND_ACTION""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,15,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
canOwnChildren,1135,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,e545c5340df78cb6cfa459c19788ab8c6988371c13288f16b979c70e20fefd35,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,23,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
canContain,1136,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,05f272ed7005495a6d987e38323a23f699dff82349520fe0872abbb5bce43dba,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,24,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
newDocStore,1213,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,e31ae27e5ae7f41ac955a17c74b0b9bbf5b5236d7db17acc47b8fd88977b7ec4,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,29,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
activeFixture,1238,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,81e485c74cf4fe7bd0843031f54e6a401a3cd688bce941eea196ffd5d4c52a0e,"[""OTHER""]",DOMAIN_ONLY,dist/foundation/accepted-runtime.js,53,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
getNote,1239,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,614b84f86e384c29d578358e2ac6b32b972b118b56eb325bf1fbff9f7984d473,"[""NOTES_STICKY""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,55,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
getStore,1240,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,c12ea20d5274dfe7550af8c3ca2335a0bf6c64c0cf93d18e6b3e03a6924d5ec7,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,67,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
surfaceLabel,1245,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,812f07717ffbc27c98ad94441850a177a51a963715882f0b6820638b42260ad3,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,73,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
freshBlockId,1246,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,b12c359737a1a893ae3bbada30f95ea84a96bcf910445284c566b5260404d662,"[""UNIFIED_EDITOR_BLOCK""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,74,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
freshNoteId,1247,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,b8fb8154681fd68aa2a5dc13b5080949a9d062c9b82a5f1b2a71fab051e1806e,"[""NOTES_STICKY""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,75,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
plainTextFromStoredHTML,1248,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,155f64b83a147c1e4d290596fb9d7c93a290e5c9c816bbaa35be21aee305b3a8,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,76,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
codeRaw,1249,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,bae6c26f6e7eb00031b6e2cbe3d7d3617f47eff3d7559b2114e361ecd2367e5a,"[""CODE""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,77,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
blockHTML,1250,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,51a6bea848be3b7aa0ba15e6ab733af7e8e629e04fbece362d4058453783866a,"[""UNIFIED_EDITOR_BLOCK""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,78,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
blockText,1251,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,3282d1ee5aa28198095c51145b3d5487b261b7736b1187b9d5787ab885b8a347,"[""UNIFIED_EDITOR_BLOCK""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,79,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
inferCodeLanguage,1252,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,ef5182970ecbc1a5f1856fb0da2fe892cd6f2da4f05a4e8d2b4048137a3def86,"[""CODE""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,80,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
syntaxTokens,1253,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,e5010da58d4ae8273e1369f84068b9fdd5364bb2578edc37cec6acf25753ddec,"[""CODE""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,81,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
syntaxRenderSegment,1254,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,9eae5db3be9ef20d29e502d1f981d8bde1d67e7e368a736054c6e3ed572a061b,"[""CODE""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,82,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
renderCodeMarkup,1255,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,0c1eaf3e2a9e6aca29b9aafc640ee7e6dd29ed1d7da3b2dd37fcaafe421cb340,"[""CODE""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,83,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
walk,1257,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,67fbd919a50f49813cac6ab7f3dc42cf4e87efaa1043a0190c85752c9b63f7bd,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,85,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
findRef,1258,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,07ae7a0647bbd0a3b82c1d4e48b37b0d102c90ea0c3a9ab2063cd691949d0578,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,86,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
maxBlockDepth,1259,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,8c07c2fe21effe8e0f6e14e337fc3900d3b3def7469f92ea74620ed4ed58398f,"[""UNIFIED_EDITOR_BLOCK""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,87,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
serializeBlocks,1260,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,731089108d588180b10ad139203dd1795ba515bc14ca681b425901c72501c304,"[""UNIFIED_EDITOR_BLOCK""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,88,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
validTree,1261,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,ebcd7fda4d6ad9fd8044c694b9f141480d282395e77a66a8238c990ac971835a,"[""OTHER""]",FOUNDATION_REUSE,dist/foundation/accepted-runtime.js,89,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
pushHistory,1270,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,3d032d89b9b1a5a9017f5c79c9ae37cb44c9a77dcf6bc5940b5dc8fe10544219,"[""HISTORY_RECOVERY""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,98,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
undo,1271,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,26128d8fb853c21e87a8943304f67aa3ef6c5bf8700996da1aabf3fea50b058a,"[""HISTORY_RECOVERY""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,99,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
redo,1272,ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd,a4cd3b56a0b46fb3980b6f85dca56e956642df786454181d72479013f528c676,"[""HISTORY_RECOVERY""]",FAMILY_ENGINE,dist/foundation/accepted-runtime.js,100,True,Original implementation retained under one module mount,"SOURCE_PRESERVATION_VERIFIED; behavior coverage by assurance receipts, not 330 blanket passes",Modular separation by family without parity regression; full behavior regression OPEN
