index,decision_id,priority,status,scope,family,decision,supersedes,source,applies_to,verification,notes
0,OWNER-20260910-001,P0,ACTIVE,PORTFOLIO,CUSTOMIZATION_GENERALIZATION,Customization is a general CEP principle. Safe presentation/workspace settings should be customizable where meaningful; not a language-only exception.,Fixed surface-local/default-only customization laws.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
1,OWNER-20260910-002,P0,ACTIVE,PORTFOLIO,SAFE_DEFAULT_NOT_PRODUCT_LAW,"Defaults are starting values, not immutable laws unless a safety/domain reason requires non-configurability.","Arabic-first, fixed RTL, fixed theme/layout formulations.",CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
2,OWNER-20260910-003,P0,ACTIVE,W02_LIBRARY_EDITOR,ACCEPTED_BLUEPRINT_SCOPE,Library Editor v1.2.17 is the currently accepted executable design donor; compatible mechanics must be mined directly.,Inference that latest candidate equals accepted blueprint.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
3,OWNER-20260910-004,P0,ACTIVE,ALL_OTHER_BLUEPRINTS,CANDIDATE_NOT_AUTHORITY,Visualize/W03/other non-Library blueprints are requirement/value/evidence inputs only until future explicit design acceptance.,Latest-file-equals-authority behavior.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
4,OWNER-20260910-005,P0,ACTIVE,ALL_SURFACES,FOUNDATION_REUSE_FIRST,"Maximize executable reuse across all 23 surfaces using global foundation, family engines, and thin domain adapters.",Independent generic engines per surface.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
5,OWNER-20260910-006,P0,ACTIVE,EDITOR_COMPATIBLE_SURFACES,EDITOR_ENGINE_REUSE,Accepted Library editor mechanics become reusable executable structured/editor primitives for Learn and all compatible authoring surfaces.,Library-only editor implementation.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins. Owner QA 2026-09-17 explicitly requires Sticky Note content to be a full compatible consumer of the same canonical Structured editor engine/presentation/interaction value; see OD-20260917-051.
6,OWNER-20260910-007,P0,ACTIVE,SPATIAL_CONSUMERS,SPATIAL_ENGINE_REUSE,Spatial mechanics become one reusable engine with domain adapters for Visualize/W03/eligible consumers.,Separate spatial engines per surface.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
7,OWNER-20260910-008,P0,ACTIVE,FUTURE_WORK,AUTHORITY_INTAKE_HARDENING,Read canonical authority/supersession before raw candidates; historical framework paths/classes/routes are not new-foundation architecture authority.,Historical production paths treated as current target.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
8,OWNER-20260910-009,P1,ACTIVE,ACCEPTED_LIBRARY,MICRO_SUPERSESSION_ALLOWED,Preserve accepted Library donor value while applying exact newer Owner corrections only to affected mechanics.,Whole-donor rejection for one corrected mechanic.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
9,OWNER-20260910-010,P0,ACTIVE,GLOBAL_SHELL,SHELL_DESIGN_REOPENED,"Current Shell/navigation visual composition is not accepted as strong/final. Mine useful interaction/context mechanics, but redesign global shell/navigation after shared workbench foundation is stable.",AppShell/W02Nav REUSE_AS_IS assumptions.,CURRENT_DIRECT_OWNER_2026_09_10,RESOLVE_BY_PROFILE_AND_SEMANTICS,ZERO_LOSS_DISPOSITION_REQUIRED,Exact rule recovered from OWNER_CURRENT_RULES.json; newer direct Owner decision wins.
