CHECKPOINT_ITEM,MISSION_AREA,CONTROLLER_CLASSIFICATION,EVIDENCE,RESUME_RULE
CP-001,Exact paused Work output/checkpoint,NOT_SUPPLIED_TO_CONTROLLER,Do not infer progress from Library absence.,Existing Work conversation must self-anchor its exact live filesystem/output before applying delta.
CP-002,v0.2 baseline,KNOWN_VERIFIED,"4,062,681 bytes; expected SHA verified.",Do not rebuild from zero.
CP-003,Existing mission P0 W03 authority,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,"If already completed in live Work, verify receipts and do not redo unless new current rule invalidates it."
CP-004,Existing mission P0 Structured boundary,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,Preserve any completed extraction; extend only missing Controller gate.
CP-005,Existing mission P1 Operational neutrality,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,Preserve completed work if live Work proves it.
CP-006,Existing mission W03 dispositions,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,Apply corrected donor-only authority/value grouping.
CP-007,Existing mission browser harness,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,Do not rerun expensive proofs that remain valid.
CP-008,Existing mission Spatial hardening,NOT_STARTED_FROM_EXISTING_MISSION_OR_UNKNOWN_AT_PAUSE,Checkpoint unavailable.,Continue from live code/receipts.
CP-009,NEW deferred value-filter law,NEWLY_ADMITTED_BY_THIS_CONTROLLER,Direct current Owner supersedes zero-loss.,Must be applied even if prior zero-loss work was completed.
CP-010,NEW merged Global host donor-containment task,NEWLY_ADMITTED_BY_THIS_CONTROLLER,Reconciles B C02/C05/C06/C10 into one bounded owner.,"Apply after Structured seam, reuse any live partial work."
CP-011,NEW source-scope-clean Writer governance,NEWLY_ADMITTED_BY_THIS_CONTROLLER,Remove A/B GitHub/Production mapping contamination; implement ownership/version/scaffold last.,No GitHub/old Production fields.
