foundation_id,core_or_engine,big_boss_disposition,evidence_scope,responsibility,hard_boundary,new_foundation_authority,physical_implementation_status,implementation_posture,primary_donor,anti_pattern,W01:Today,W01:Shared Global Shell,W02:Library,W02:Learn,W02:Visualize,W02:Research & Quality,W03:Enterprise,W03:Scenarios,W03:Labs,W03:Runs,W03:Results,W04:Evidence,W04:Reviews,W04:Mastery,W04:Portfolio,W05:Health,W05:Processing,W05:Validation,W05:Audit,W05:AI Bridge / Manual AI Bridge,W05:Backup & Restore,W05:Releases,W05:Configuration
SC-001,GlobalShellCore,REQUIRED_SHARED,W01 + all Workspaces,"Global navigation/orientation, cross-destination shell ownership; domain bodies excluded.",No domain store or sixth primary destination.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-002,WorkspaceRegionCore,PROVEN_SHARED,W01–W05,TOP/structure/primary-work/context/deep-work region grammar repeatedly observed.,Region contents remain Surface-owned.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-003,PaneResponsiveCore,PROVEN_SHARED,22/23 capsules + W01/W02 donor evidence,preferred vs effective state; resize/collapse/hide/reopen; responsive overlay/drawer.,"Pane state is presentation, not domain state.",ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-004,ContextInspectorCore,PROVEN_SHARED,W01–W05,RIGHT contextual inspection pattern recurs with one contextual owner.,Context payload remains domain-adapted.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-005,BottomDeepWorkCore,PROVEN_SHARED,W01–W05,temporary deep-work region; closed/inert lifecycle and focus restoration.,BOTTOM content/semantics remain Surface-owned.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-006,PresentationStateCore,PROVEN_SHARED,W01–W05,layout/view/focus/pane state repeatedly separated from domain truth.,Must not become canonical domain persistence.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-007,GlobalPreferenceCore,REQUIRED_SHARED,OSD-072..079 + W01–W05 repeated preferences,one semantic preference owner with scoped inheritance and many entry routes.,Global owner does not mean globally forced value.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-008,PreferenceScopeResolver,REQUIRED_SHARED,OSD-073 + all Workspaces,safe default → global → workspace → surface → view/tool → content/object where valid → session.,Applicability must be explicit per setting.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-009,GlobalSettingsIA,REQUIRED_SHARED,OSD-078 + W01/W02/W05 evidence,central searchable settings IA over one registry.,"Surface settings are filtered entry routes, not new stores.",ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-010,PreferencePersistenceCore,PROVEN_SHARED,W01/W02/W03/W05 donor evidence,durable preference store with source/effective value and reset semantics.,Domain config remains outside preference state.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
