requirement_id,requirement,acceptance,status,authority,owner,remaining
OWNER-VIS-EDIT-001,"Tree, Path, Graph, and Canvas are all full professional editing environments. No view may be reduced to a mostly-read-only visualization merely because Canvas is the free-spatial view.","Each view must pass a capability matrix covering select/multi-select, inspect, rename/edit label, add draft, remove/hide projection where admissible, move/reorder/layout where semantically valid, relation/link draft where admissible, Notes, Undo/Redo, keyboard parity, pointer parity, responsive reachability, state synchronization, and truthful gated states.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-002,"Tree must be a full hierarchy editing workspace, not a static hierarchy viewer.",Every visible task-relevant Tree item exposes an editing route with keyboard equivalent for essential actions; no pointer-only structural edit.,OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-003,"Path must be a full ordered/progression editing workspace, not a decorative journey diagram.",Every task-relevant Path node/edge/stage control is inspectable and editable through pointer and keyboard paths where essential.,OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-004,"Graph must be a full semantic relationship editing workspace, not only an exploration viewer.",Nodes and task-relevant edges are keyboard focusable/selectable; all essential editing workflows have non-pointer routes.,PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-005,Canvas remains fully editable and must not regress while the other views are raised to parity.,Canvas preserves all proven working functionality while converging to one owner per state/command/history path.,PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-DESIGN-006,Canvas visual/product quality must be materially reconstructed from its current primitive/toy-like presentation into a premium CEP spatial workstation.,"At 1440 and ~1024 the Canvas must read as a mature branded CEP product surface, not a prototype/demo, while retaining all editing functionality.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-007,Create and enforce a cross-view editability capability matrix so shared editing concepts are not implemented only in Canvas.,No shared capability is absent from Tree/Path/Graph merely because an implementation already exists in Canvas; NOT_APPLICABLE requires explicit semantic reason.,OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-EDIT-008,Editability must survive responsive and accessibility states; narrow/zoom modes may reorganize controls but may not silently turn a view read-only.,"At 1440, ~1024, 840/720 stress and actual 200% browser zoom, essential edit/inspect/undo/context operations remain reachable for all four views, with same-owner responsive panels and no body-level horizontal overflow.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-009,"All Visualize tools/actions must use a coherent, low-clutter, progressively disclosed command architecture rather than being scattered across permanent toolbars and panels.","At 1440 and ~1024, primary commands remain immediately reachable without horizontal tool-scroll; secondary/advanced commands are grouped by intent; right-click, contextual toolbar, persistent toolbar, inspector and command palette route to the same semantic command owner; no duplicated side-effect implementations.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-010,"Tool families with multiple variants/options must use the interaction pattern best suited to that family, not one generic list/dropdown for everything.","Writer documents each family and chooses among split-button, segmented mode group, remembered-last-tool flyout, popover grid, nested submenu, swatch/slider popover, or overflow collection; each group has keyboard navigation, accessible naming, state indication and responsive fallback.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
