SECTION_ID,SECTION_NUMBER,SECTION_TITLE,SOURCE_ATOM_ID,REQUIREMENT_ID,ATOMIC_REQUIREMENT,A_CLASSIFICATIONS,A_EXPECTED_OWNER,CONTROLLER_OWNERSHIP_LAYER,REUSABLE_MECHANIC_OR_DOMAIN_OWNER,W03_DISPOSITION,WORK_ADMISSION,ADMITTED_TASK_ID,RATIONALE
W03-PROP-00,0,CORE PRODUCT THESIS,W03-PROP-00-A000,CEP-REQ-W03-00-000,"W03 must behave as a coherent professional cyber-simulation workstation, not a decorative graph/dashboard/card collection or fake terminal experience.",DESIGN_GUIDANCE_ONLY;DOMAIN_ADAPTER,DomainW03,FUTURE_WRITER_INPUT,WriterGovernance / W03 Product-Thesis Guard,PRESERVE_AS_FUTURE_WRITER_INPUT,DEFER_HIGH_VALUE,,"W03 product-thesis/anti-decoration guidance is a future Writer guard, not an Operational runtime owner."
W03-PROP-00,0,CORE PRODUCT THESIS,W03-PROP-00-A001,CEP-REQ-W03-00-001,Do NOT design W03 as must support the following set where semantically applicable: a graph editor;; a collection of cards;; five disconnected pages;; a topology viewer;; a dashboard;; a fake terminal shell;; a node-and-edge drawing application;; a visual-only prototype;; static devices connected by decorative lines..,DESIGN_GUIDANCE_ONLY;DOMAIN_ADAPTER,DomainW03,FUTURE_WRITER_INPUT,WriterGovernance / W03 Product-Thesis Guard,PRESERVE_AS_FUTURE_WRITER_INPUT,DO_NOW_P0,FND-RSM-P0-003,"W03 anti-fake/disconnected-page thesis is a future Writer guard spanning multiple families, not solely Operational ownership."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A000,CEP-REQ-W03-01-000,"Enterprise, Scenarios, Labs, Runs and Results must participate in one continuous build→prepare→operate→observe→replay/analyze workbench while preserving orientation and identity.",FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,GLOBAL_FOUNDATION,CrossSurfaceContinuityContract + WorkspaceFoundation,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_FAMILY_BUILD,,"Cross-surface workbench continuity and preserved orientation are global workspace/identity concerns, not Review/Audit ownership. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A001,CEP-REQ-W03-01-001,Instead: the same or equivalent topology becomes the Runtime projection,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A002,CEP-REQ-W03-01-002,Instead: device states become alive,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,DOMAIN_ADAPTER,RuntimeAdapter state projection + EnterpriseTopologyDomainAdapter,EXTRACT_DOMAIN_VALUE,DEFER_TO_SURFACE_BUILD,,Live device state is runtime truth projected through the Enterprise domain adapter; it is not Enterprise-authored state alone.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A003,CEP-REQ-W03-01-003,Instead: links show runtime state,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A004,CEP-REQ-W03-01-004,Instead: operational tools become available,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,ActionAvailabilityCore + RuntimeAdapter capability contract,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,Operational-tool availability is an Operational capability/policy concern. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A005,CEP-REQ-W03-01-005,Instead: commands produce state changes,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP;SEMANTIC_COMMAND,OperationalSurfaceManager,OPERATIONAL_FAMILY,RuntimeAdapter + domain causal command adapters,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,Runtime commands producing canonical state changes belong to the operational/runtime command boundary. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A006,CEP-REQ-W03-01-006,Instead: telemetry/events appear,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,RuntimeAdapter event/telemetry projection contract,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,"Runtime telemetry/events are operational runtime projections, not a generic W03 domain bucket. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A007,CEP-REQ-W03-01-007,Instead: tasks/scenario progression activates,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,DOMAIN_ADAPTER,ScenarioDomainAdapter + RunDomainAdapter progression projection,EXTRACT_DOMAIN_VALUE,DEFER_TO_SURFACE_BUILD,,"Scenario/task progression is Scenario domain truth driven/projected through Run execution semantics, not Lab ownership."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A008,CEP-REQ-W03-01-008,Instead: the user remains oriented inside the same environment.,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,GLOBAL_FOUNDATION,CrossSurfaceContinuityContract + WorkspaceFoundation,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,Preserving user orientation across mode/surface transitions is a global workbench continuity concern. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A009,CEP-REQ-W03-01-009,When the Run ends: Results / Replay should retain device identity,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,REVIEW_AUDIT_FAMILY,Evidence/Result/Review contract,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_FAMILY_BUILD,,"Strong future family boundary, not required for current v0.2.1 implementation."
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A010,CEP-REQ-W03-01-010,When the Run ends: topology context should remain recognizable,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,DOMAIN_ADAPTER,EnterpriseTopologyDomainAdapter,EXTRACT_DOMAIN_VALUE,DEFER_TO_SURFACE_BUILD,,Preserve domain value without promoting W03 implementation/design authority.
