gate_id,priority,family,gate,status,oracle_or_note
FND-G01,P0,AUTHORITY,Canonical source + decision registry read first,PASS_IN_PREP,Future Work references canonical registries before raw candidates.
FND-G02,P0,DONOR_IDENTITY,Accepted Library exact identity,PASS_IN_PREP,CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html / ea66b58ef122bf2f8ca23fd0aa9e461b07da11ea7390c451902e4b1592d396fd / 672893 bytes
FND-G03,P0,BLUEPRINT_AUTHORITY,Only accepted Library promoted as executable donor,PASS_IN_PREP,All other blueprints/candidates remain value/proposal/evidence until explicit adjudication.
FND-G04,P0,CUSTOMIZATION,General customization supersession registered,PASS_IN_PREP,Safe defaults separated from Owner preferences; Arabic-first not product law.
FND-G05,P0,ALL_SURFACES,23-surface applicability matrix exists,PASS_IN_PREP,23 surfaces × 40 shared/family cores.
FND-G06,P0,PHYSICAL_ARCHITECTURE,Historical stack paths blocked from authority,PASS_IN_PREP,Big Boss conceptual owners preserved; physical stack/file/symbol unresolved.
FND-G07,P0,DOMAIN_BOUNDARY,Generic mechanic vs domain truth boundary explicit,PASS_IN_PREP,Shared core → family engine → domain adapter.
FND-G08,P1,DONOR_EXTRACTION,Direct donor extraction map exists,PASS_IN_PREP,19 component families + 15 function families.
FND-G09,P0,STACK_PROOF,Representative native/simple-stack Proof-of-Fit,OPEN,Must prove hardest archetypes before final physical stack freeze.
FND-G10,P0,VISUAL_PARITY,No abstraction without accepted-donor visual/interaction parity,OPEN_FOR_IMPLEMENTATION,Required during actual extraction/transplant.
FND-G11,P0,DOMAIN_REQUIREMENTS,Non-Library Owner requests fully reconciled into domain/family adapters,OPEN,W03/Visualize/other candidates are not substitutes for direct Owner requirement reconciliation.
FND-G12,P0,OWNER_ACCEPTANCE,Foundation acceptance/freeze,OPEN,No self-acceptance; requires independent review + explicit Owner/Controller adjudication.
