surface,seedAvailable,matchedDiagnosticPossible,DS01Disposition
today,NO,YES,TARGET
library,NO,YES,TARGET
learn,NO,YES,TARGET
rq,NO,YES,TARGET
results,YES,YES,TARGET_EXISTING_SEAM_BUT_CURRENT_STATE_DATA_POOR
evidence,NO,YES,TARGET
reviews,NO,YES,TARGET__KNOWN_D14_002_ROUTE_CRASH_NOT_BUGFIX_SCOPE
mastery,NO,YES,TARGET
portfolio,NO,YES,TARGET
validation,YES,YES,TARGET_EXISTING_SEAM_BUT_CURRENT_STATE_DATA_POOR
backup,YES,YES,TARGET_EXISTING_SEAM_BUT_CURRENT_STATE_DATA_POOR
audit,YES,YES,TARGET_EXISTING_SEAM_BUT_CURRENT_STATE_DATA_POOR
configuration,YES,YES,TARGET_EXISTING_SEAM_BUT_CURRENT_STATE_DATA_POOR
shell,YES,YES,EXCLUDED_NOT_DATA_SEED_TARGET
visualize,YES,YES,EXCLUDED_D14_001_CRASH_IDENTITY_SCOPE
enterprise,YES,YES,EXCLUDED_D14_001_CRASH_IDENTITY_SCOPE
scenarios,YES,YES,EXCLUDED_HAS_SEED_IDENTITY_SCOPE
labs,YES,YES,EXCLUDED_HAS_SEED_IDENTITY_SCOPE
runs,YES,YES,EXCLUDED_D14_001_CRASH_IDENTITY_SCOPE
health,YES,YES,EXCLUDED_HAS_DATA_PATH
processing,YES,YES,EXCLUDED_HAS_DATA_PATH
manual_ai,YES,YES,EXCLUDED_HAS_DATA_PATH
releases,YES,YES,EXCLUDED_HAS_DATA_PATH
