GATE_ID,CLASS,STATUS,AFFECTED_ROWS,OWNER_BOUNDARY,SOURCE_IMPLEMENTATION,REASON,REQUIRED_TO_CLOSE,FORBIDDEN_SHORTCUT
GATE-RANGE-STYLE,SOURCE_CONTRACT_GATE,CLOSED_AT_SOURCE_SEMANTIC_LEVEL,LIB-026; LIB-037; W03-LIB-008,CEP_W02_STRUCTURED_CONTENT_V4 / existing lesson_revisions.blocks JSONB,"Canonical inline_marks implemented with code-point offsets, bounded palettes, normalization, text transforms, save/read/history/recovery/render/clipboard and VS001/VS002 anti-loss boundary.",Former contract gap was Controller-adjudicated and implemented in this wave.,No source close remains. Runtime/browser/DB proof remains under C025/C026.,No hidden persistent HTML; no second editor; no alternate persistence.
GATE-C024-SCALE,SOURCE_CONTRACT_GATE,CLOSED_AT_SOURCE_SEMANTIC_LEVEL,C024,Existing W02 Library/R&Q route/controller/workspace/services/frontends,"Bounded server-side catalog/source paging, stable opaque query-bound cursors, summary/lazy detail, bounded hierarchy projection, claim-related R&Q source scope, server-driven frontend requests.",Controller explicitly adjudicated destination/contract in PRE-COLAB source-completion wave.,No source close remains. DB-real/runtime/browser proof remains C025/C026.,No client whole-corpus filtering; no full SourceRecord materialization; no fabricated totals.
GATE-NOTES-DURABLE,AUTHORITY_GATE,AUTHORITY_GATED,Linked Sticky Notes durable persistence rows,OWNER-ADJ-PROD-NOTES-001,Local/browser NoteWorkingState retained; V4 structured-content semantics reused where applicable.,Controller/Owner has not authorized a durable server Notes schema/API.,Owner/Controller authorization + exact persistence mapping + runtime proof.,Do not invent Notes table/API or collapse into formal Evidence/Mastery.
GATE-OS-TOPMOST,PLATFORM_GATE,PLATFORM_GATED,Linked Sticky Notes cross-application topmost,Browser/PWA vs OS capability boundary,In-app pin/browser popout behavior remains separate.,Web product cannot guarantee OS cross-application always-on-top.,Explicit platform capability/provider if ever admitted.,Do not relabel browser/in-app pin as OS topmost.
GATE-NOTES-POPOUT-RUNTIME,BROWSER_RUNTIME_GATE,RUNTIME_UNPROVEN_SOURCE_IMPLEMENTED,LIB-039 and linked-note popout behavior,LinkedStickyNoteCore + existing note.popout.map,v1.1.4 source/value preserved; same-note identity semantics not altered.,Real same-origin popup/browser runtime proof not executed in this source wave.,Real browser popup identity/storage/focus/close-reopen proof.,Do not promote source/semantic harness to browser proof.
GATE-C025-LARAVEL-POSTGRES,RUNTIME_DB_GATE,RUNTIME_DB_EVIDENCE_PENDING,C025; DB/API-backed PRECOLAB rows,Laravel + Composer + PostgreSQL project runtime,PHP syntax 215/215 PASS; source feature/unit tests present; C024 source semantics and V4 PHP normalization tested standalone.,Composer/vendor/PostgreSQL/Docker runtime unavailable in current source environment.,Run project Laravel tests and DB-real migration/query/concurrency/performance checks in later runtime environment.,Do not promote PHP syntax/standalone harness to Laravel/PostgreSQL runtime.
GATE-C026-BROWSER-VISUAL,BROWSER_PLATFORM_RUNTIME_GATE,BROWSER_RUNTIME_EVIDENCE_PENDING,C026; frontend interaction/visual/a11y/bidi/clipboard behavior,Exact route + candidate-bound browser evidence,Source/static semantics complete; server-driven request cancellation and V4 UI wiring implemented.,No fresh exact-route/candidate browser matrix was produced in this source-only wave.,"1440/~1024/narrow/200%, en/ar LTR/RTL, clipboard, keyboard/focus/AT, exact route and persistence/reload proof.",Do not reuse precursor screenshots or treat static tests as browser evidence.
GATE-NODE-FULL-SUITE,ENVIRONMENT_RUNTIME_GATE,ENVIRONMENT_BLOCKED,Full frontend Vitest/Vite/vue-tsc project suite,package.json declared Node/npm toolchain,Strict isolated V4 TypeScript compile PASS; standalone TS/state/regression harnesses PASS.,Current environment Node v22.16.0/npm 10.9.2 does not provide declared Node 24.18.0/npm 11.16.0 toolchain; npm ci did not establish complete dependencies.,Run declared full frontend suite under matching project toolchain.,Do not call isolated tsc the full application build.
GATE-C027-TODAY,PROVIDER_GATE,PROVIDER_GATED,C027,Real Today provider/read contract,Existing truthful unbound behavior preserved; no fake data/provider introduced.,Real provider is not authorized/available.,Integration-owned provider contract + seeded/provider-backed tests.,Do not fabricate Today data.
GATE-C028-RQ-DURABLE,AUTHORITY_GATE,AUTHORITY_GATED,C028,Durable R&Q reconciliation persistence,Read-only/analysis source improvements do not invent durable reconciliation state.,Durable reconciliation requires authority/persistence contract beyond current read-only analysis.,Owner/Controller persistence authority + exact schema/service mapping + runtime proof.,Do not collapse R&Q reconciliation into formal Review/Evidence.
GATE-C029-VISUALIZE,AUTHORITY_PROVIDER_GATE,AUTHORITY_PROVIDER_GATED,C029,Advanced Visualize canonical/durable mutation,Unaffected v1.1.4 boundaries preserved.,No authority/provider/schema contract for advanced canonical/durable mutation.,Exact authority/provider/schema adjudication.,Do not invent canonical graph/spatial persistence.
GATE-C030-LEARN,PROVIDER_GATE,PROVIDER_GATED,C030,Provider-backed Learn practice/assessment/progression,Existing truthful boundaries preserved; Progress != Mastery.,Real provider not available/authorized.,Real provider contract + integration/runtime evidence.,Do not fabricate assessment/progression/mastery state.
