priority,location,path_or_ref,purpose,required_action
P0,PACKAGE,00_START_HERE/MASTER_WORK_MISSION_v1.0.md,Current mission controlling prompt,READ_COMPLETE
P0,PACKAGE,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.md,Newest direct Owner decisions,READ_COMPLETE
P0,PACKAGE,01_AUTHORITY/CEP_CANONICAL_AUTHORITY_AND_FOUNDATION_PREP_REPORT_v1.0.md,Canonical authority interpretation,READ_COMPLETE
P0,PACKAGE,01_AUTHORITY/CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv,Canonical decisions/supersessions,READ_ALL_ROWS
P0,PACKAGE,01_AUTHORITY/CEP_CANONICAL_SOURCE_AUTHORITY_REGISTRY_v1.0.csv,Source classification,READ_ALL_ROWS
P0,PACKAGE,02_ACCEPTED_DONOR/CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,Accepted direct executable donor,VERIFY_HASH_AND_READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/CEP_NEXT_PARALLEL_WAVE_CURRENT_CONTROL.txt,Current execution pointer,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/00_CONTROLLER_OPERATING_SYSTEM/00_READ_FIRST/CEP_CONTROLLER_OPERATING_SYSTEM_READ_FIRST_v1.0.md,Controller method,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/00_CURRENT_CONTROL/CEP_EXECUTION_CONTROL_CENTER_CURRENT_MANIFEST_v1.10.md,Current manifest,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/00_CURRENT_CONTROL/CEP_CURRENT_CONTROLLER_STATE_v1.7.md,Current state,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/01_OWNER_GLOBAL_RULES/CEP_GLOBAL_OWNER_WRITER_RULES_v1.0.md,Global Owner/Writer laws,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/01_OWNER_GLOBAL_RULES/CEP_OWNER_GLOBAL_SPATIAL_AND_VIEW_INTERACTION_ADDENDUM_v1.0.md,Spatial/view law,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/07_CONTROLLER_REVIEWS/CEP_OWNER_DIRECT_REVIEW_W03_v3.3.1_FINDINGS_AND_DECISIONS_v1.0.md,Current W03 Owner review,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/00_CONTROLLER_OPERATING_SYSTEM/06_WORKSPACE_CONTROLS/W03/CEP_W03_WORLD_CLASS_PROPOSAL_ZERO_LOSS_RECONCILIATION_MANDATE_v1.0.md,W03 zero-loss mandate,READ_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/03_ACTIVE_BASELINES/CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip,Conceptual decision compiler; do not inherit physical stack paths,READ_RELEVANT_TEXT_CONTENTS_COMPLETE
P0,LIBRARY,/CEP_EXECUTION_CONTROL_CENTER/03_ACTIVE_BASELINES/CEP_CONTROLLER_SUCCESSOR_W03_RECOVERY_HANDOFF_v1.1.zip,W03/Visualize/operational recovery knowledge,READ_RELEVANT_TEXT_CONTENTS_COMPLETE
P1,PACKAGE,07_REFERENCE_INVENTORY/CEP_CONTROL_CENTER_DEEP_CONTENT_INVENTORY_v1.0.md,Deep corpus map,READ_COMPLETE
P1,PACKAGE,07_REFERENCE_INVENTORY/CEP_CONTROL_CENTER_RECURSIVE_CONTENT_INDEX_v1.0.csv,Recursive content index,USE_FOR_EXHAUSTIVE_DISCOVERY
P1,PACKAGE,07_REFERENCE_INVENTORY/CEP_CONTROL_CENTER_SECTION_INDEX_v1.0.csv,Section-level discovery,USE_FOR_EXHAUSTIVE_DISCOVERY
