OWNER_REQUIREMENT_ID,SOURCE_DONOR,BLUEPRINT_REQUIREMENT_ID,BLUEPRINT_SELECTOR_FUNCTION_INTERACTION_ID,OWNER_REQUIREMENT_TEXT,SEMANTIC_OWNER,STATE_OWNER,COMMAND_OWNER,PRESENTATION_STYLE_OWNER,SHARED_CORE_OR_DOMAIN_ADAPTER,CURRENT_PRODUCTION_BRANCH,CURRENT_PRODUCTION_SHA,PRODUCTION_FILE,PRODUCTION_COMPONENT_SYMBOL,API_SERVICE_PERSISTENCE_OWNER,ROUTE_DATA_CONTRACT,WRITE_SCOPE,COLLISION_LEGACY_OWNER_NOTES,STATIC_PROOF,SEMANTIC_PROOF,TEST_PROOF,RUNTIME_PROOF,BROWSER_PROOF,VISUAL_PROOF,RESPONSIVE_PROOF,A11Y_PROOF,BIDI_PROOF,MAPPING_STATUS,VERDICT,SEVERITY,DISPOSITION,NOTES
LIB-001,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-001,script#requirement-reconciliation-ledger :: LIB-001 :: PRESERVE-001; QUALITY-001,"Preserve document dominance, compact LEFT and unique RIGHT.",Value preservation evidence; Writer assurance evidence,Review evidence,none,not product-facing,GOVERNANCE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,CEP_W01_W02_ASTRA1_DEEP_CORRECTION_AUDIT_v1.0.md; CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,audit + requirement reconciliation; writer receipts + review ledgers,N/A,governance/evidence,evidence only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,NOT_APPLICABLE_JUSTIFIED,P0,NOT_APPLICABLE_JUSTIFIED,
LIB-002,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-002,script#requirement-reconciliation-ledger :: LIB-002 :: PANE-003; BANNER-001; FOCUS-001,At ~1024 LEFT+CENTER stable; RIGHT same-owner on-demand overlay/drawer; no page overflow; focus returns.,Preferred/effective responsive panes; Library document identity/banner; Workspace focus presentation,WorkspaceLayoutCore + overlay refs; Library surface presentation; WorkspaceLayoutCore + transient focus,pane.toggle/reveal; Library toolbar/banner actions; focus enter/exit,WorkspaceFrame; LibraryWorkspace .document-banner; WorkspaceFrame/Workbench,SHARED_CORE; DOMAIN_ADAPTER,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/workbench/WorkspaceFrame.vue; resources/js/shared/WorkspaceLayoutCore.ts; resources/css/workbench.css; resources/js/workbench/LibraryWorkspace.vue; resources/js/workbench/Workbench.vue,preferredLeftOpen/rightOpen; leftOverlay/rightOverlay; structure-overlay/context-overlay; template .document-banner; workbench-heading; WorkspaceLayoutCore; WorkspaceFrame pane owners; Workbench focus handlers,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,MISSING,P0,MISSING,Exact current destination owner exists; EXPANDED/COMPACT/HIDDEN state is not implemented.; One-action Focus Mode state is absent; exact layout/focus owners are established.
LIB-003,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-003,script#requirement-reconciliation-ledger :: LIB-003 :: EDITOR-002; GUTTER-001,Insert before/after/gap/caret with exact split semantics and no data loss.,Structured insertion; Block gutter/insertion,StructuredDocument; StructuredEditor transient insertion,block.insert / insertion.open; insertion.open -> block.insert,StructuredEditor; StructuredEditor block-gutter,SHARED_CORE; DOMAIN_ADAPTER,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/shared/StructuredContentCore.ts; resources/js/workbench/StructuredEditor.vue,StructuredDocument.insert; insert; openInsertion; block-gutter,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,
LIB-004,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-004,script#requirement-reconciliation-ledger :: LIB-004 :: EDITOR-001,"Enter/backspace/delete/paragraph↔list operations deterministic, one transaction, correct caret.",Structured boundary editing,StructuredDocument,enter/text/metadata,StructuredEditor keyboard,SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/shared/StructuredContentCore.ts; resources/js/workbench/StructuredEditor.vue,StructuredDocument.enter; key,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Backspace/Delete structural merge matrix remains C019.
LIB-005,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-005,script#requirement-reconciliation-ledger :: LIB-005 :: DRAG-001; NEST-001; TOGGLE-001,No orphan depth; subtree atomic; accurate target/depth preview; Escape lossless; one undo.,Structural movement; Block nesting; Toggle/container semantics,StructuredDocument; StructuredDocument + contract,block.move; indent/outdent; toggle/open/body/indent,StructuredEditor block rows; StructuredEditor,SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/shared/StructuredContentCore.ts; resources/js/workbench/StructuredEditor.vue; app/Modules/Knowledge/Content/LessonContentContract.php,StructuredDocument.move; block-row; StructuredDocument.indent; childAdmittingBlockTypes; StructuredDocument.enter/indent/insert; toggle; CHILD_ADMITTING_TYPES,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Pointer drag/reorder/autoscroll/cancel adapter missing.
LIB-006,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-006,script#requirement-reconciliation-ledger :: LIB-006 :: DRAG-001; NEST-001,Keyboard reorder/nest/outdent produces equivalent semantic structure and preserves focus.,Structural movement; Block nesting,StructuredDocument,block.move; indent/outdent,StructuredEditor block rows; StructuredEditor,SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/shared/StructuredContentCore.ts; resources/js/workbench/StructuredEditor.vue,StructuredDocument.move; block-row; StructuredDocument.indent; childAdmittingBlockTypes,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Pointer drag/reorder/autoscroll/cancel adapter missing.
LIB-007,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-007,script#requirement-reconciliation-ledger :: LIB-007 :: HIST-001,History restores semantic block and deterministic caret boundary through structural edits.,Structured history,StructuredDocument history/cursor,history undo/redo,StructuredEditor toolbar/keyboard,SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/shared/StructuredContentCore.ts; resources/js/workbench/StructuredEditor.vue,StructuredDocument.transact/undo/redo; key,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Logical content restoration exists; caret bookmark restoration is missing.
LIB-008,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-008,script#requirement-reconciliation-ledger :: LIB-008 :: SEL-001; ACTION-001,"Captured semantic range is valid, focus/caret returns, link/citation actions target exact text.",Inline selection semantics; Semantic command availability,StructuredEditor inlineRange + active block; command registry + editor selection,selection formatting/link/reference; SemanticCommandCore + StructuredEditor.run,StructuredEditor; Workbench/StructuredEditor,DOMAIN_ADAPTER; SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/workbench/StructuredEditor.vue; resources/js/shared/SemanticCommandCore.ts,inlineRange; wrap; openInline; applyInline; SemanticCommandCore; run; active,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Captured range helpers exist; selection-adjacent toolbar UI and full actions are incomplete.; Shell registry exists; editor action surfaces are not yet fully converged.
LIB-009,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-009,script#requirement-reconciliation-ledger :: LIB-009 :: CTX-001; SEL-001,Explicit context scope; selected-block metadata follows selection atomically or pane clearly remains KU-scoped.,One Library context owner; Inline selection semantics,selected/inspected block projection; StructuredEditor inlineRange + active block,context inspect actions; selection formatting/link/reference,LibraryWorkspace #right via WorkspaceFrame; StructuredEditor,DOMAIN_ADAPTER,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/workbench/LibraryWorkspace.vue; resources/js/workbench/WorkspaceFrame.vue; resources/js/workbench/StructuredEditor.vue,template #right; selected; inspectedBlockId; contextPanel; inlineRange; wrap; openInline; applyInline,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Exact one-owner location exists; full lens host/tabs are incomplete.; Captured range helpers exist; selection-adjacent toolbar UI and full actions are incomplete.
LIB-010,CEP_LIBRARY_EDITOR_FINAL_REQUIREMENT_PRESERVATION_CROSSWALK_v1.2.17_ACCEPTED.json + CEP_LIBRARY_EDITOR_EXECUTABLE_BLUEPRINT_v1.2.17_ACCEPTED_DESIGN_REFERENCE.html,LIB-010,script#requirement-reconciliation-ledger :: LIB-010 :: READ-001; ACTION-001,Commands expose truthful enabled/disabled/pressed state from one command model; no silent no-op.,Read/Edit capability projection; Semantic command availability,LibraryWorkspace.editing + revision.editable; command registry + editor selection,mode/action availability; SemanticCommandCore + StructuredEditor.run,StructuredEditor/LibraryWorkspace; Workbench/StructuredEditor,DOMAIN_ADAPTER; SHARED_CORE,LOCAL_WRITER_COPY same-lineage; GitHub main base=2d8a711fa538234d51bef3b005355cccfd82b5f5; no remote branch mutation,base_candidate_tree=c590a82943fdbfcac860da3357d67b97b5a5716c; local_source_manifest_sha256=10f1e96a7c9568c4b999153bb252dd4b8b6acf56c148e40ea3e2c3c04bea6f60,resources/js/workbench/LibraryWorkspace.vue; resources/js/workbench/StructuredEditor.vue; resources/js/shared/SemanticCommandCore.ts,editing; editable prop; read inspect; SemanticCommandCore; run; active,N/A,W02 Library/Learn workbench,bounded local candidate only,,STATIC_PROVEN for owner/path/symbol statements listed; local source re-inspected after corrections; see static/test receipt.,SEMANTIC_PROVEN only where behavior was directly reasoned/executed in safe harness; otherwise PARTIAL/UNPROVEN as reflected by verdict/notes.,See CEP_W01_W02_STATIC_AND_RUNTIME_TEST_RECEIPT_v1.1.1.json; no unexecuted suite is promoted to TEST_PROVEN.,Selective safe-harness runtime only; Laravel/PostgreSQL framework runtime NOT_RUN.,NOT_RUN_REAL_AUTHENTICATED_BROWSER,NOT_RUN_CURRENT_CORRECTED_CANDIDATE_VISUAL_REFERENCE_GATE,STATIC_PROVEN_PARTIAL; browser responsive/200% proof NOT_RUN.,STATIC_PROVEN_PARTIAL; focus/AT/browser proof NOT_RUN.,STATIC_PROVEN_PARTIAL; mixed-caret/browser matrix NOT_RUN.,EXACT_CURRENT_OWNER_OR_GOVERNANCE_ROW,PARTIAL,P1,PARTIAL,Accepted Read Mode formatting/style action matrix is not complete.; Shell registry exists; editor action surfaces are not yet fully converged.
