decision_id,priority,scope,family,decision,supersedes,status,authority
OWNER-20260910-001,P0,PORTFOLIO,CUSTOMIZATION_GENERALIZATION,Customization is a general CEP principle. Safe presentation/workspace settings should be customizable where meaningful; not a language-only exception.,Fixed surface-local/default-only customization laws.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-002,P0,PORTFOLIO,SAFE_DEFAULT_NOT_PRODUCT_LAW,"Defaults are starting values, not immutable laws unless a safety/domain reason requires non-configurability.","Arabic-first, fixed RTL, fixed theme/layout formulations.",CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-003,P0,W02_LIBRARY_EDITOR,ACCEPTED_BLUEPRINT_SCOPE,Library Editor v1.2.17 is the currently accepted executable design donor; compatible mechanics must be mined directly.,Inference that latest candidate equals accepted blueprint.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-004,P0,ALL_OTHER_BLUEPRINTS,CANDIDATE_NOT_AUTHORITY,Visualize/W03/other non-Library blueprints are requirement/value/evidence inputs only until future explicit design acceptance.,Latest-file-equals-authority behavior.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-005,P0,ALL_SURFACES,FOUNDATION_REUSE_FIRST,"Maximize executable reuse across all 23 surfaces using global foundation, family engines, and thin domain adapters.",Independent generic engines per surface.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-006,P0,EDITOR_COMPATIBLE_SURFACES,EDITOR_ENGINE_REUSE,Accepted Library editor mechanics become reusable executable structured/editor primitives for Learn and all compatible authoring surfaces.,Library-only editor implementation.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-007,P0,SPATIAL_CONSUMERS,SPATIAL_ENGINE_REUSE,Spatial mechanics become one reusable engine with domain adapters for Visualize/W03/eligible consumers.,Separate spatial engines per surface.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-008,P0,FUTURE_WORK,AUTHORITY_INTAKE_HARDENING,Read canonical authority/supersession before raw candidates; historical framework paths/classes/routes are not new-foundation architecture authority.,Historical production paths treated as current target.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-009,P1,ACCEPTED_LIBRARY,MICRO_SUPERSESSION_ALLOWED,Preserve accepted Library donor value while applying exact newer Owner corrections only to affected mechanics.,Whole-donor rejection for one corrected mechanic.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-010,P0,GLOBAL_SHELL,SHELL_DESIGN_REOPENED,"Current Shell/navigation visual composition is not accepted as strong/final. Mine useful interaction/context mechanics, but redesign global shell/navigation after shared workbench foundation is stable.",AppShell/W02Nav REUSE_AS_IS assumptions.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-011,P0,ALL_SURFACES,GLOBAL_LAYOUT_SLOT_CONSTITUTION,"Provide executable universal layout/slot templates. Shared pane/toolbar/context/action surfaces keep the same layout grammar, design language, placement grammar and interaction model; surfaces change domain content/actions only.",Surface-local layout invention.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
OWNER-20260910-012,P0,WORKSPACE_PANES,PANE_SYSTEM_UNIFICATION,"LEFT/RIGHT side panes, TOP region and BOTTOM shelf use shared pane/region mechanics. Internal pane close/collapse controls are distinct from external edge reveal/toggle controls. Resize/responsive/preferred-vs-effective behavior is shared.",Independent pane mechanics and ambiguous reopen controls.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10
