ownerDecisionId,disposition,evidence
OD-20260916-043,PASS,Serialized final convergence; exact semantic replay; no sibling ZIP overlay.
OD-20260916-044,PASS,Bounded compatibility correction limited to existing Audit seam; no new owner/architecture.
OD-20260916-045,PASS,Runtime/persistence/provider truth preserved; platform target proof remains pending.
OD-20260917-047,PRESERVED_PENDING_TARGET_PROOF,Windows sidecar/provider source not mutated by R6.
OD-20260917-048,PASS_WITH_PLATFORM_GATE_OPEN,Operational window/session truth preserved; OS topmost/native detach target proof remains pending.
OD-20260917-049,PASS_WITH_WINDOWS_CONPTY_GATE_OPEN,xterm real consumer path exercised; Windows ConPTY raw-I/O target proof remains pending.
OD-20260917-050,PASS,No security-motivated command/provider restriction introduced.
OD-20260917-051,PASS,Sticky/full Structured shared-owner semantics retained; no second editor owner.
OD-20260917-052,PASS_WITH_NATIVE_WINDOW_GATE_OPEN,Whole-surface detach semantics retained at product route layer; HWND proof remains pending.
OD-20260917-053,PASS,Settings vs contextual Details ownership remains singular; final check PASS.
OD-20260918-054,PASS,Left/keyboard chooser and right-click direct Paragraph binding retained from corrected accepted-runtime replay.
OD-20260918-055,PASS,All 23 genuine routes pass both required viewports; no generic fallback.
OD-20260918-056,PASS,W03 remains workspace-first; lifecycle tests PASS; no universal Read/Edit gating.
OD-20260918-057,PASS,Six clean inputs consumed by legal semantic replay; global convergence serialized; no Balanced6 mutation.
